canonical_name,status,file_name,source,source_title,source_page_url,image_url,match_method,sha256,width,height,notes
HG 1/144 NARRATIVE GUNDAM A-PACKS,downloaded,HG 1_144 NARRATIVE GUNDAM A-PACKS__1464715aab.jpg,dalong,Narrative Gundam A-packs,https://www.dalong.net/reviews/hg/h218/h218_p_e.htm,https://www.dalong.net/reviews/hg/h218/p/h218.jpg,exact,b7d8f01768f127d99a3ef1eea9991789027aa250e06e69a0243093890ed50af3,1200,954,
HG 1/144 NARRATIVE GUNDAM C-PACKS,downloaded,HG 1_144 NARRATIVE GUNDAM C-PACKS__eece7d0185.jpg,dalong,Narrative Gundam C-Packs,https://www.dalong.net/reviews/hg/h222/h222_p_e.htm,https://www.dalong.net/reviews/hg/h222/p/h222.jpg,exact,3caf130afe1783dc3a53f88105b47867e25c40bc45d45819e1a0c909df47d8a4,1200,753,
HG 1/144 NEMO (UNICORN VER.),downloaded,HG 1_144 NEMO (UNICORN VER.)__0ed918d7ee.jpg,dalong,Nemo [Unicorn Ver.],https://www.dalong.net/reviews/hg/h140/h140_p_e.htm,https://www.dalong.net/reviews/hg/h140/p/h140.jpg,exact,cf5cb96c652b53d8fe48f5ebdd567637d7124753fe0a534de4c5d6d07c971588,300,189,
HG 1/144 NEMO (Z Ver.),downloaded,HG 1_144 NEMO (Z Ver.)__a8305ac377.jpg,bandai_manual,NEMO (Z Ver.),https://manual.bandai-hobby.net/menus/detail/366,https://bandai-hobby.net/images/189_2740_s_8tvtzz70j9mivdzrcery3bqhtu1n.jpg,official_exact,5fba6201997e4c723dd2a5edb5291dbe70fc721ef968f29fb519bf84b716c79f,1200,1200,
HG 1/144 NEO ZEONG,downloaded,HG 1_144 NEO ZEONG__95d6488407.jpg,dalong,Neo Zeong,https://www.dalong.net/reviews/hg/h181/h181_p_e.htm,https://www.dalong.net/reviews/hg/h181/p/h181.jpg,exact,02ad959f96896b0f88be6dc5ca27c2d9da8b0095e4623bb568a168983bca2394,300,162,
HG 1/144 NIGHTINGALE,downloaded,HG 1_144 NIGHTINGALE__bc8c4b9630.jpg,dalong,Nightingale,https://www.dalong.net/reviews/hg/h240/h240_p_e.htm,https://www.dalong.net/reviews/hg/h240/p/h240.jpg,exact,da5a509322939c23a02f1620149929bfc6d6714abc82a619965228012cf828f3,1200,804,
HG 1/144 NINPULSE GUNDAM,downloaded,HG 1_144 NINPULSE GUNDAM__abf3eddc9d.jpg,gunpla_gallery,忍ノ参 Ninpulse Gundam,https://gunplagallery.com/kits/115-hg-%E5%BF%8D%E3%83%8E%E5%8F%82-ninpulse-gundam,https://s3.amazonaws.com/gunplagallery/catalog/115_original_HGBF_Ninpulse_Gundam.jpg,exact,787fb851b511b9a619be7ca3ed9b7a1758d7a48bfe8711652ed5ced1415938c9,1200,758,
HG 1/144 NO-NAME RIFLE,downloaded,HG 1_144 NO-NAME RIFLE__8afc5580fc.jpg,dalong,No-Name Rifle,https://www.dalong.net/reviews/bf/bc45/bc45_p_e.htm,https://www.dalong.net/reviews/bf/bc45/p/bc45.jpg,exact,ebd223dc02faf1deba23b86ef510102580151fbd68e0d09ef25c64a7ccf4a666,951,1200,
HG 1/144 NOBELL GUNDAM,downloaded,HG 1_144 NOBELL GUNDAM__b08a46672c.jpg,dalong,Nobell Gundam,https://www.dalong.net/reviews/hg/h119/h119_p_e.htm,https://www.dalong.net/reviews/hg/h119/p/h119.jpg,exact,e3f7ba01eed3e4d4818a3d43296a33008a6d0d2a9ed34b0a11268f06ade07b10,289,180,
HG 1/144 NOBELL GUNDAM (BERSERKER MODE),downloaded,HG 1_144 NOBELL GUNDAM (BERSERKER MODE)__8a2c8dce73.jpg,dalong,Nobell Gundam [Berserker Mode],https://www.dalong.net/reviews/hg/h129/h129_p_e.htm,https://www.dalong.net/reviews/hg/h129/p/h129.jpg,exact,a0b6083bff70a81431d72916065b6e6cc88de7834d3a1da409a2a9f4eb0492b4,300,187,
HG 1/144 NZ-666 KSHATRIYA,downloaded,HG 1_144 NZ-666 KSHATRIYA__aba1daba84.jpg,gunpla_gallery,NZ-666 Kshatriya,https://gunplagallery.com/kits/709-hg-nz-666-kshatriya,https://s3.amazonaws.com/gunplagallery/catalog/709_original_099.jpg,exact,b3eac23837f2d5382f4bb1d9bb94f9a95af729fae1db3bce2509a394117bff0e,1024,829,
HG 1/144 O GUNDAM,downloaded,HG 1_144 O GUNDAM__2defacbe7b.jpg,dalong,O Gundam,https://www.dalong.net/reviews/00/0h52/0h52_p_e.htm,https://www.dalong.net/reviews/00/0h52/p/0h52.jpg,exact,e6617df26e08fe0b3b64dc38e3e95cfaf5b3121362e7fdce94559d2cddf8fedd,290,181,
