sha256,canonical_name
959619031eee7d20600be2085f99d1519670566debdb61a840d8ee1b53b37635,MG 1/100 DWADGE CUSTOM
a9cfb5c14f5b15cb7b0833eb7e1d03ef8fc76ac1aa99120815be6f3d6a199610,MG 1/100 ECLIPSE GUNDAM+RAIJIN STRIKER
c3dfa71cbd3b1318ec2104cf546bda7a201e2e931adb29bcc0b7fb636e57f5df,RG 1/144 THE GUNDAM BASE LIMITED 00 QAN[T] FULL SABER [TRANS-AM CLEAR]
1e6bbc6384d783d5ad4e5463a67aae1c4415d4cd02f57e7231a52b81c0ea2648,RG 1/144 Z GUNDAM
4e3a8f57e3cf1c22da0db154a09d961cff7763ccc6bd55eb8f98f93ea871fee1,MG 1/100 GEARA DOGA(UNICORN Ver.)
5d7cf244f1120350af423abdbef7a89faff3f0545861ccede7cb363b23440e86,MG 1/100 GELGOG MASS PRODUCTION TYPE
6e156a378c3e01dd644c19a6c7a6b8ef3c91babc1bfe7a4f26c6d79470db5b9c,MG 1/100 GINN GLADIATOR
deec03626d7352905a14b73c9b4675745a34ea8ce6584c9c47496b11e05f0b08,MG 1/100 GM CANNON (NORTH AMERICAN FRONT)
54140746c0092471daac459b0a15f427bb8a06c4cf6c129909d3ed0bf86168c0,HG 1/144 BYARLANT ISOLDE
cd87ecd52fd48eb258d237b33614741bf80cf665335a8cb77216a97abb43ef68,HG 1/144 CATHEDRAL GUNDAM
1d09741dabdbfafc5a5a0e1001a5ac7144c4f613555a9e742f7dccc808dd6305,MG 1/100 GUNDAM ASTRAY NOIR
ce5ee8fee54c424992ecd470387edf9f8d57c22a18980552cb06a3d6662dc6bc,MG 1/100 GUNDAM DEATHSCYTHE EW (ROUSSETTE UNIT)
f809e32c41cf53553d9ffcc950168ae57d179b2707c62d0ac5fb6d94a0d9c045,MG 1/100 GUNDAM DEATHSCYTHE EW VER.
517b76789d34722da2f6fb3bd360e3060d58875bb8be8b8dcb1d7076bbd7f807,MG 1/100 GUNDAM FENICE RINASCITA ALBA
43cc4cb3b4736c5729570208ac57cc2a9955a2bdcb62eaf8bd64376949fb9736,MG 1/100 GUNDAM HEAVYARMS CUSTOM EW
4a0ab29a86e0b596d405944ad0f9c4d8b0fb4f2457544ea4e48cad73a71d58b4,MG 1/100 GUNDAM Mk-II A.E.U.G (WHITE)
30c57b0d18b2a33d1571e781d40c071abd117233fa056c13868eae43136e7443,MG 1/100 GUNDAM SANDROCK CUSTOM EW
55dffe2cd297de3fd069c229a6a5cc0232d400837396669964adbb34b0557112,MG 1/100 GUNDAM SPIGEL
4ffcf688757ee539e22be269e85cf1411ad587ee90d041d6f69847ba3a11a402,HG 1/144 Ez-ARMS
627a775f09afed9fcb93c7fc94e1095721a552e4b5e031e3cd3f8eb6f65c6c9e,HG 1/144 G-SELF(ATMOSPHERIC BACKPACK&SPACE BACKPACK)(Reconguista in G the Movie Ver.)
77d11ad792b901fda36dfa7fb467e35cda27935bcee081c0034da09523430659,MG 1/100 MS-06R ZAKUII(THE BLACK TRI-STARS)
0ee0ce2092f239364e8c771d8dd3867db06a284554b76da8f1de0d25840fc3f8,HG 1/144 GAPLANT TR-5 [HRAIROO] with GIGANTIC ARM UNIT (A.O.Z RE-BOOT Ver.)
86fb49732d2959d5722203fe1f3867f8eae6d94e67e26e1b49fd6e9d98017545,MG 1/100 MS-06R-2 J RIDDEN ZAKU Ver.2.0
e304fb9ad944fd3515e41dc0c9e29f62b81abf21418a9f880eada1c8f9282941,MG 1/100 MS-06S CHAR'S ZAKU Ver. 2.0
959a188e261f6764ff47523ba72d3b8b2f0b9f95776fd2ea270f9f0a6b8301ba,MG 1/100 MSZ-006C1 ZETAPLUS
ca390b73c579f8f5049156b84522b6f1462635d2c292a81c159a4ae4f8555961,HG 1/144 GERBERA TETRA (ROLL OUT Ver.)
e419fb4776609c0d06146902297211a17e711eea2a453bf1ce720ab6c5240800,MG 1/100 OO QAN[T] (TRANS-AM MODE) [SPECIAL COATING]
0c7c5656779cba0a9bc1791c8558820a50e5be912f3c90d976938423ec7b0313,MG 1/100 PROVIDENCE GUNDAM [SPECIAL COATING]
673218e0e96a50f588c88f08a81b5ddc48df37d795971dca1786bea934942a2f,MG 1/100 QUBELEY Mk-II (ELPEO PLE)
15d451d7335ac7e9b9d1998095783f72d1924f620b9d51e8dbd8de4fb301c6f8,HG 1/144 GM SPARTAN
1124b6f59e1cd2c41da4d9ee594da19ef7a6356f7cd8a6ea669d835ba4981397,MG 1/100 RICK DIAS QUATTORO COLOR
09ca8254a0b3c17789a2904677c75981d615264dac659a2bc1f6689ac21349e5,MG 1/100 SHIN MATSUNAGA ZAKU Ver. 2.0
1f02aaff5ceca564f2f08a3b37f35fa674d29aa4e617461ff316702c851ef14e,HG 1/144 GRAZE ARES COLOR STANDARD TYPE / COMMANDER TYPE
7b2f90fe698d87ba6364d8a3e1e41ff8daf111dbd6f55c9cbdfdfd26052569a5,MG 1/100 SLASH ZAKU PHANTOM (YZAK JULE CUSTOM)
7a409101fb5d91a7e16cb71ffe3af87929b83101f68de54be9d0cf16f0bc2586,MG 1/100 STARK JEGAN
1d063a63d2edac87a30f8c89809396db295a03f3298580d1fc0a8932f3b97dc3,HG 1/144 GUNCANNON FIRST TYPE (ROLLOUT UNIT 1)
b94b879ec4cca28026c681a80ef4018ab479486ebf3a79cc850fce5e98ad25ce,HG 1/144 GUNDAM AESCULAPIUS
1dc69750486221e47e968144e1f0aaa1bce2a40f4e655499248ed0b06c46e23a,MG 1/100 TURN X
6456fc426e3fe8c0c28ecb6e9dfa134092796f61f017012ffa7ba1cd65e980aa,MG 1/100 UNICORN GUNDAM SCREEN IMAGE SPECIAL
8258d901a9b686aed515829ff250dd5534214d0564941e7b9b929c04c3fc6b00,MG 1/100 W GUNDAM ZERO CUSTOM
4eda5c074dd502abc60c3aaab583167514ced4fc2ae1bc0f289e6de25f8a8af8,MG 1/100 Z'GOK MASS PRODUCTION TYPE
79d80bc868ee1ed4b57c924c118a02a86973ae190959cd9976e33835a5ec6723,MG 1/100 ZAKU SHIN-MATSUNAGA
68cf8f30475db1404b8765d658b4729c211b5627461f9a5de9d8332091e0d70b,MG 1/100 ZAKUI(RAMBA RAL'S CUSTOM)
e666572b702e6e80b596d247cce00c5efbb8fbe4ce8d86b8d586689f3323e677,MG 1/100 Z’GOK (GUNDAM UNICORN Ver.)
08c4c945e52a4fe5a9ec6c440aba144841d9897c5244c62beffcb2c53a173b9c,HG 1/144 GUNDAM BARBATOS & LONG DISTANCE TRANSPORT BOOSTER
1b430ecaa80c3a69a0eb3e50fc68780906601001c36c14693b70a700f7a36843,HG 1/144 GUNDAM BASE LIMITED GUNDAM TR-6 [WOUNDWORT] [CLEAR COLOR]
6d2aecb33b00080165d01227f8d2766ba875a051c165642cbf34fefc9b28bd67,HG 1/144 GUNDAM BASE LIMITED RX-78-2 GUNDAM [BEYOND GLOBAL] [GUNDAM BASE COLOR]
a598cdfe122a20ec240315d3a895250a9bc4b5b7b0bbf3626cb6fe97823f611c,HG 1/144 GUNDAM CALIBARN (PERMET SCORE FIVE)
6493ea16f22b3227abcb2568b45310edf410fabad59a99721a4709b62d464073,HG 1/144 GUNDAM G-ELSE(BEFORE)
c5f0d53a144ea0e750b308bb6760e4bc13c0eebc4aff55427ae1aea088e34714,HG 1/144 GUNDAM GEMINASS 02
15c61b7525e7a0b4a4676e6a4d22b0aae63ca485b9696628389eb67348b57e3a,HG 1/144 GUNDAM HAZEL TR-1 [HAZEL No.2]
e2bb48bc60d117dcf46777c162dccb0d5adca93da7978448a588e2cba38a997d,HG 1/144 GUNDAM L.O.BOOSTER
f734805d07c09df71a5f6b2dd65a8d55387a672fab54a92b499773c9ba487b0d,HG 1/144 GUNDAM LOCAL TYPE (NORTH AMERICAN FRONT)
50829b2232fffd83929b8c2196ae2f4e5970f142dc2a4011ad78f3ecc5f23d61,HG 1/144 GUNDAM M91
85847f4afceb1593eb14168c996dfe230a9664a4416342186af35cbe0ea96ff8,HG 1/144 GUNDAM TR-1 [HAZEL OWSLA][GIGANTIC ARM UNIT]
277c50e15713ed6bf9a7f6c4aa949a6c05404f3d66e712ba43a5715f9d884b10,HG 1/144 GUNDAM TR-6 [HAZE’N-THLEYII] (ADVANCE OF Z THE FLAG OF TITANS)
1d09f2e8acfa46f8a3e7675e25b793291acb2a6096e572e2efc6c8c82151e183,HG 1/144 GUNDAM TR-6 [KEHAARII] (ADVANCE OF Z THE FLAG OF TITANS)
948ff71c7919dc0107e1d3ddada389fc2d615e2bb4477abcce2a97ed475f8e3e,HG 1/144 GUNDAM TR-6 [WOUNDWORT] PSYCHO-BLADE CUSTOM (A.O.Z RE-BOOT Ver.)
bfd1387bee886431c8da9896e5c3dc737165c2cd47b60aa726a3273703cccdd6,HG 1/144 GUNDAM VIDAR
