"sha256","canonical_name"
"58d06eacf7888c3610f2e54724b412a522276974bb336f1cbfb34497995fcd24","MG 1/100 MS-06J ZAKUII WHITE AUGER"
"78c41786b82ae05f811d946043b1cbadf73c4eb8f5843ff8e0d5e497295addc1","HG 1/144 GARMA'S ZAKU"
"1468ec626de410c04cfdd072316b719d68f2c6b0cf199aa65f97a625cf898be4","HG 1/144 GAZA C (HAMAN KARN'S MOBILE SUIT)"
"8947d217dbc9f7373985397955276ae9d8c4958106662e7f7c3b46c8da663015","HG 1/144 GAZA C (NORMAL TYPE)"
"e61c859f18b7b683c90d72711cdaf7c4afad1bc3a3abf6805d210098fc87230f","HG 1/144 GEARA DOGA (REZIN CUSTOM)"
"c5c7089a1a75f127a766f0919cec8b4094911c76d88eb2130ed040cb42306c69","HG 1/144 GEARA ZULU (BODY GUARD TYPE)"
"e7d1df2db87681be7fb357c0ef4206be3ce400fc623b082db565778ce84d734f","MG 1/100 MS-14 GATO'S GELGOOG"
"9149b4e99b37ddeedc2d0844be7a0908812c6523389aa889125bbcd96bbe8c9c","HG 1/144 GEARA ZULU ANGELO SAUPER'S"
"a5103f5297e7ef521ced77bd230b3422d6b34cc49909caafccdb7fb11edceeea","MG 1/100 MSM-07 Z'GOK (CHAR'S CUSTOM)"
"8b0443a6ceaf11ba6b91c5471b83104e35e0cada916150624acee6bdff78e54f","MG 1/100 MSN-100 HYAKU-SHIKI"
"57f529106b12931cf5b63adb6b9a37c0a46c306994d1305e534d058b39f6d8b1","MG 1/100 PLAN303E DEEP STRIKER"
"18021caa1bccb0b14dce00886fe4507a925269029646b002ea068a3ae52243d0","MG 1/100 QUBELEY Mk-II (PLE TWO)"
"1b1cc9849765b1805980dda7dae8f601c7a6f116d8acded8523ef122ad3a834c","MG 1/100 RAIDER GUNDAM (FULL MECHANICS)"
"4e316134ca882781e33035c6b8a40a74802e8a7d36e3c544e2d897623bc83bbd","HG 1/144 GM GARD CUSTOM"
"dd13392ef160eb8d8ff6f2e105a046da31113fd1bef49241c70aaf7784b692e4","MG 1/100 ReZEL TYPE-C (DEFENSER a+b UNIT/GENERAL REVIL)"
"68b7a1d1766ac8d9f320feda7c5d390c78753cd4e68e577ca32c1dc755cf0789","MG 1/100 RGM-79"
"4ad45f8645f33558893f78869dba1f6b3468aeb929b65de3246985ac7c0d4d86","MG 1/100 RGM-79N"
"e473ef0a86f5e824300743a3a7275d41528283fa0d411043adf73a3a338ee4c6","MG 1/100 RGM-79Q"
"fb67e28b57e3eed131fbb2f476ce3baf86833bb78d89343b0ca5b60980fbbef6","MG 1/100 RX-0 UNICORN GUNDAM 2 BANSHEE"
"b3384a1173500d563b6a5c4ebd45f8fe27aeb00875777237af38b707228ba943","MG 1/100 RX-78 GUNDAM (Ver.1.5)"
"3df887b40f20e9dc46e673978e261edaa2fac298d5404670cf45b7ef8a5dfa40","MG 1/100 RX-78-2 GUNDAM (CHAR'S COLOR)"
"641bdb28be8fabfc6287fe428ac96f343e3a605ca509bcc4a1c01b79a5b7fb22","HG 1/144 GN ARMS TYPE-E + GUNDAM EXIA (TRANS MODE)"
"2e83c1810820c48dc9f42b23b204832c3a29c8e8eef339c7ee1d392ab318ba3d","HG 1/144 GN-X III"
"50f95a294713a22d4e9812e51e807c5dd25fe6d40845179afb904eb75a7a40f4","MG 1/100 RX-78GP03S GUNDAM STAMEN"
"7e96442c8f9cca7907e01aedca1b6821674e1ab095542d97be2266db1b1734b8","MG 1/100 RX-79G GUNDAM Ez8"
"6d1780472c2a1beae4a9730e92af59c844b99dfffc16c7273670134c5e41e2f5","HG 1/144 GP02A MLRS CUSTOM"
"26a63083fdfc2090e83cf5612487553f04e3feb7b849fac80c0ac02d57c10cf0","MG 1/100 SINANJU"
"698364ae8a77d6cdce5c8b7d140b067e198a0b81192f2412af857c6457f08a73","MG 1/100 SINANJU (ANIME COLOR Ver.)"
"873d032c8fcfafd47f06b4126ce486644e574690bd983d72d97526e1738e7cb1","MG 1/100 STRIKE E+IWSP (ASTRAYS LUKAS O'DONNELL CUSTOM)"
"e8713b22de8f2881ec6726c0f76671d7c381305a0191cb14bc846fd3dee95f65","HG 1/144 GRYPHIOS WAR SET"
"aebbdd64a7519f38fa8af2c1e087f8d65284bb312352064e90ef148c63405aa6","HG 1/144 GUNCANNON"
"5a8c4537eba5d73bbeeb91981622b7dae4f8306d371a2b101e52ead8e681835d","MG 1/100 STRIKE GUNDAM LAUNCHER / SWORD"
"0868f8e8abbfb76c94bd20870b913c5c198ac42f8c564f248beaa635a0d2e368","MG 1/100 STRIKE ROUGE (OOTORI UNIT) Ver.RM"
"8142ee6b62bbe0303a8e1e980e775b8e6f2497f5e97eb71c63b4e52f8372d14b","MG 1/100 TALLGEESE I EW VER."
"e2b9d6e82cd5d5d4852da558f8fb8ff7356428d23b386f2f49b87817d400f637","HG 1/144 GUNDAM AGE-1 FULL GRANSA"
"b69d6b5f638c57985304756e9653bb6a6516bb205e36a67931854107f8be77e9","MG 1/100 UNICORN GUNDAM SCREEN IMAGE"
"025c6b0f48865a18c99eabdb3eb1e2b01bfd36a209c13c9f6fed3775fd9deadb","MG 1/100 V GUNDAM Ver.Ka"
"1ae5b2a70b964ebab63b7295181dece92b305dae6e5259aae79b587a99d2007e","MG 1/100 Z GUNDAM Ver.2.0"
"dc9a80cc367b0c902a2360638564bf16ffeb34364c52b4e37f19cd77a1106832","MG 1/100 Z-GUNDAM"
"bebc3e12eb1214f29acb5d586c53fcba7777b60fa1f13aa8709f56930a1e20e8","MG 1/100 ZAKU HIGH MOBILITY TYPE ""PSYCHO ZAKU"" Ver.Ka [GUNDAM THUNDERBOLT]"
"9bc4adf1347a331f51f5cac7d3a5fbef797bcd86cb4074bfea2153e85d2a81c2","MG 1/100 ZAKU JONNY RIDEN"
"2a297d4567480d405d5ca9a7fdc870b6bf47f44d381e55afd41c5953a57d2996","MG 1/100 ZZ GUNDAM"
"b11648bf389a43ca3933d032ccb4da66298563a8b59a4cfa499d2b5086379935","MG 1/100 ガンダムエクシアダークマター MG 1/100 GUNDAM EXIA DARK MATTER"
"37e107c606abc415a06c169842608ea6746b1d85c09c04355f5f6b5d6f8a767e","HG 1/144 GUNDAM F91 HARRISON CUSTOM"
"397f75e7f77fa1a5b749e475e230665c158567fcc9dd06cb1dd78eb3ef4c9347","HG 1/144 GUNDAM GROUND TYPE THE08 MS TEAM"
"ee261bd673b4dbeb72a1015d711bf24040651026640f30b640207f67b58a50a3","HG 1/144 GUNDAM LEGILIS"
"84d025f9655488c98cb231486eb9f832549f0cca12655c9d7e7e87e3919182ba","HG 1/144 GUNDAM LEOPARD"
"6d128ac8b1a5416de1f1bf796767f1a87dc2763b7d21b88bb3f8e1340ead6088","HG 1/144 GUNDAM LEOPARDO DA VINCI"
"95d3aedc402b3d2a8a721bf00a85c5ce541570c3d8b67e856a2a54c4df9f820a","HG 1/144 GUNDAM OPERATION V"
"08b51f30c33dfec1dd0bc034d546912c83e35df5e364fd635a830fcf85069d2f","HG 1/144 GUNDAM X D.V."
"d2a63c17b708f0e7b501480b8eb267f0ff453eab7e7e7aa9d3b66afde344b95e","HG 1/144 HAZEL CUSTOM"
"532faea8305a80b15474f04ffde0a99103b942eac8c8e2f86b38d79911fee482","HG 1/144 HAZEL HIGH MANEUVER"
"2884cb0efd85db8408e4306ce2554c8a0adcc7e6af0988cd6b6a597214da1691","HG 1/144 IMPLUSE GUNDAM ARC"
"35d709a65546a68732a0ffe82deba58635c084105f81af372861fe8b490db189","HG 1/144 IMPLUSE GUNDAM LANCIER"
"56c55d4020024dcfdbd2f08a3f5789b9c9634bb0354bfc6a5381cad36eaf5413","HG 1/144 JAGD DOGA (GYUNEI)"
"cea11c612632f819f3ab9acc4bccb1a67a30cc92213c474c05ec63872a5edeb7","HG 1/144 KYRIOS TRANSAM MODE"
"832722a055035f9ce5f07aed6dde9ce7acb595573f4ffba9363f79d65b34bb3e","HG 1/144 MACK KNIFE (MASK'S USE)"
"eaa127950ba3cab5665f4dffa0212cc5d0c1e09e1386926eb348c460f6ccff18","HG 1/144 MEGA RIDE LAUNCHER"
"ef91f7a8882a97fb3e4a75316f7b046f4325b0547384d343d31c5dc251f293d0","HG 1/144 METHUS"
"a167901100d6b845cbf71a5db4b5e81ec8c866e117ce8c03298f7eca70d795f1","HG 1/144 MONTERO KLIM NICK CUSTOM"
