canonical_name,grade,scale,msrp,msrp_currency,original_release_date,last_reproduction_date
HG 1/144 GN ARCHER,HG,1/144,,JPY,2009-01-01,
MG 1/100 RX-78 GUNDAM (Ver.1.5),MG,1/100,,JPY,2000-06-01,
HG 1/144 GN ARMS TYPE-D + GUNDAM DYNAMES,HG,1/144,,JPY,2008-09-01,
MG 1/100 RX-78-1 PROTOTYPE GUNDAM,MG,1/100,,JPY,2014-04-01,
HG 1/144 GN ARMS TYPE-E (Real Color Ver.),HG,1/144,,JPY,2014-05-01,
MG 1/100 RX-78-2 GUNDAM (CHAR'S COLOR),MG,1/100,,JPY,2002-08-01,
HG 1/144 GN ARMS TYPE-E + GUNDAM EXIA (TRANS MODE),HG,1/144,,JPY,2008-03-01,
MG 1/100 RX-78-2 GUNDAM Ver. Ka,MG,1/100,,JPY,2002-12-01,
HG 1/144 GN-X,HG,1/144,,JPY,2008-07-01,
MG 1/100 RX-78-2 GUNDAM Ver.3.0,MG,1/100,,JPY,2013-08-10,
HG 1/144 GN-X III,HG,1/144,,JPY,2008-10-01,
MG 1/100 RX-78-2 GUNDAM Ver.ONE YEAR WAR 0079,MG,1/100,,JPY,2005-03-01,
HG 1/144 GN-X III ESF TYPE,HG,1/144,,JPY,2009-01-01,
MG 1/100 RX-78-2 GUNDAM Ver2.0 REAL TYPE COLOR,MG,1/100,,JPY,2012-06-01,
HG 1/144 GN-X IV (Commander Type),HG,1/144,,JPY,2018-12-01,
MG 1/100 RX-78-3 G3 GUNDAM Ver.2.0,MG,1/100,,JPY,2009-12-25,
HG 1/144 GN-X IV (Mass Production Type),HG,1/144,,JPY,2019-12-01,
MG 1/100 RX-78-4 GUNDAM G04,MG,1/100,,JPY,2003-07-01,
HG 1/144 GN-XIV TYPE.GBF,HG,1/144,,JPY,2018-02-01,
MG 1/100 RX-78-5 GUNDAM G05,MG,1/100,,JPY,2003-08-01,
HG 1/144 GOD GUNDAM,HG,1/144,,JPY,2010-05-19,
MG 1/100 RX-78GP03S GUNDAM STAMEN,MG,1/100,,JPY,2001-04-01,
HG 1/144 GOGG,HG,1/144,,JPY,2000-03-01,
MG 1/100 RX-79G GUNDAM Ez8,MG,1/100,,JPY,2000-10-01,
HG 1/144 GOUF,HG,1/144,,JPY,2000-04-01,
MG 1/100 RX-93 νGUNDAM,MG,1/100,,JPY,2000-12-01,
HG 1/144 GOUF CRIMSON CUSTOM,HG,1/144,,JPY,2022-02-01,
MG 1/100 S GUNDAM,MG,1/100,,JPY,2002-10-01,
HG 1/144 GOUF CUSTOM,HG,1/144,,JPY,2010-11-06,
MG 1/100 S-GUNDAM BOOSTER UNIT TYPE,MG,1/100,,JPY,2014-08-01,
HG 1/144 GOUF R35,HG,1/144,,JPY,2014-06-07,
MG 1/100 SENGOKU ASTRAY GUNDAM,MG,1/100,,JPY,2014-02-22,
HG 1/144 GOUF(21stCENTURY REAL TYPE Ver.),HG,1/144,,JPY,2016-06-01,
MG 1/100 SHENLONG GUNDAM EW(LIAO YA UNIT),MG,1/100,,JPY,2019-05-01,
HG 1/144 GP02A MLRS CUSTOM,HG,1/144,,JPY,2007-02-10,
MG 1/100 SHIN MATSUNAGA ZAKU Ver. 2.0,MG,1/100,,JPY,2008-11-16,
HG 1/144 GQuuuuuuX,HG,1/144,,JPY,2025-01-17,
MG 1/100 SHIN MUSHA GUNDAM,MG,1/100,,JPY,2008-06-01,
HG 1/144 GRAZE ARES COLOR STANDARD TYPE / COMMANDER TYPE,HG,1/144,,JPY,2016-02-01,
MG 1/100 SHINING GUNDAM,MG,1/100,,JPY,2002-05-01,
HG 1/144 GRAZE CUSTOM,HG,1/144,,JPY,2015-11-07,
MG 1/100 SHINMUSHA GUNDAM SENGOKU NO JIN,MG,1/100,,JPY,2009-03-01,
HG 1/144 GRAZE EIN,HG,1/144,,JPY,2016-04-09,
MG 1/100 SINANJU,MG,1/100,,JPY,2008-12-27,
HG 1/144 GRAZE GROUND TYPE TWIN SET,HG,1/144,,JPY,2017-11-01,
MG 1/100 SINANJU (ANIME COLOR Ver.),MG,1/100,,JPY,2013-03-27,
HG 1/144 GRAZE RITTER (CARTA CORPS),HG,1/144,,JPY,2018-09-01,
MG 1/100 SINANJU STEIN (NARRATIVE Ver.),MG,1/100,,JPY,2019-01-19,
HG 1/144 GRAZE SCHILD & GRAZE (ARIANRHOD FLEET) SET,HG,1/144,,JPY,2018-04-01,
MG 1/100 SINANJU STEIN (NARRATIVE Ver.) Ver.Ka,MG,1/100,,JPY,2024-06-29,
HG 1/144 GRAZE STANDARD TYPE / COMMANDER TYPE,HG,1/144,,JPY,2015-10-10,
MG 1/100 SLASH ZAKU PHANTOM (YZAK JULE CUSTOM),MG,1/100,,JPY,2020-04-01,
HG 1/144 GRIMGERDE,HG,1/144,,JPY,2016-02-13,
MG 1/100 STAR BUILD STRIKE GUNDAM (RG SYSTEM Ver.),MG,1/100,,JPY,2016-04-01,
HG 1/144 GRIMOIRE,HG,1/144,,JPY,2014-10-25,
MG 1/100 STARK JEGAN,MG,1/100,,JPY,2023-02-01,
HG 1/144 GRIMOIRE RED BERET,HG,1/144,,JPY,2018-04-28,
MG 1/100 STRIKE E+IWSP (ASTRAYS LUKAS O'DONNELL CUSTOM),MG,1/100,,JPY,2008-02-23,
HG 1/144 GRYPHIOS WAR SET,HG,1/144,,JPY,2006-03-18,
MG 1/100 STRIKE FREEDOM GUNDAM,MG,1/100,,JPY,2006-12-23,
HG 1/144 GUEL’S DILANZA,HG,1/144,,JPY,2022-10-08,
MG 1/100 STRIKE FREEDOM GUNDAM FULL BURST MODE,MG,1/100,,JPY,2006-12-23,
HG 1/144 GUNCANNON,HG,1/144,,JPY,1999-05-01,
MG 1/100 STRIKE GUNDAM + IWSP,MG,1/100,,JPY,2006-10-28,
