canonical_name,grade,scale,msrp,msrp_currency,original_release_date,last_reproduction_date
HG 1/144 GUNDAM AGE-1 SPALLOW,HG,1/144,,JPY,2011-12-10,
MG 1/100 TURN X,MG,1/100,,JPY,2014-06-14,
HG 1/144 GUNDAM AGE-1 TITUS,HG,1/144,,JPY,2011-11-19,
MG 1/100 UNICORN GUNDAM 02 BANSHEE NORN,MG,1/100,,JPY,2014-06-01,
HG 1/144 GUNDAM AGE-2 DARK HOUND,HG,1/144,,JPY,2012-07-14,
MG 1/100 UNICORN GUNDAM 02 BANSHEE Ver.Ka,MG,1/100,,JPY,2018-03-10,
HG 1/144 GUNDAM AGE-2 DOUBLE BULLET,HG,1/144,,JPY,2012-03-24,
MG 1/100 UNICORN GUNDAM 03 PHENEX,MG,1/100,,JPY,2014-02-15,
HG 1/144 GUNDAM AGE-2 NORMAL,HG,1/144,,JPY,2012-01-21,
MG 1/100 UNICORN GUNDAM SCREEN IMAGE,MG,1/100,,JPY,2010-03-11,
HG 1/144 GUNDAM AGE-3 FORTRESS,HG,1/144,,JPY,2012-11-23,
MG 1/100 UNICORN GUNDAM SCREEN IMAGE SPECIAL,MG,1/100,,JPY,2010-03-11,
HG 1/144 GUNDAM AGE-3 NORMAL,HG,1/144,,JPY,2012-05-12,
MG 1/100 UNICORN GUNDAM Ver.Ka,MG,1/100,,JPY,2007-12-01,
HG 1/144 GUNDAM AGE-3 ORBITAL,HG,1/144,,JPY,2012-08-08,
MG 1/100 V DASH GUNDAM Ver.ka,MG,1/100,,JPY,2010-07-22,
HG 1/144 GUNDAM AGE-FX,HG,1/144,,JPY,2012-08-25,
MG 1/100 V GUNDAM Ver.Ka,MG,1/100,,JPY,2009-12-19,
HG 1/144 GUNDAM AGE-FX BURST,HG,1/144,,JPY,2013-01-19,
MG 1/100 V2 GUNDAM Ver. Ka,MG,1/100,,JPY,2015-12-26,
HG 1/144 GUNDAM AGEII MAGNUM,HG,1/144,,JPY,2018-03-10,
MG 1/100 VICTORY TWO ASSAULT BUSTER GUNDAM Ver.Ka,MG,1/100,,JPY,2018-12-01,
HG 1/144 GUNDAM AGEII MAGNUM SV ver.,HG,1/144,,JPY,2018-12-22,
MG 1/100 W GUNDAM ZERO CUSTOM,MG,1/100,,JPY,2004-10-01,
HG 1/144 GUNDAM AGEII MAGNUM SVver.(FX PLOSION),HG,1/144,,JPY,2019-11-01,
MG 1/100 WING GUNDAM,MG,1/100,,JPY,2010-04-28,
HG 1/144 GUNDAM AIRMASTER,HG,1/144,,JPY,2014-07-26,
MG 1/100 WING GUNDAM (Ver. Ka),MG,1/100,,JPY,2004-03-01,
HG 1/144 GUNDAM AIRMASTER BURST,HG,1/144,,JPY,2020-10-01,
MG 1/100 WING GUNDAM ZERO EW & DREI ZWERG [SPECIAL COATING],MG,1/100,,JPY,2008-01-01,
HG 1/144 GUNDAM AMAZING EXIA,HG,1/144,,JPY,2014-08-09,
MG 1/100 XXXG-01S SHENLONG GUNDAM EW VER.,MG,1/100,,JPY,2011-03-26,
HG 1/144 GUNDAM AMAZING RED WARRIOR,HG,1/144,,JPY,2015-01-10,
MG 1/100 XXXG-01W WING GUNDAM EW VER.,MG,1/100,,JPY,2011-03-26,
HG 1/144 GUNDAM AN-01 TRISTAN,HG,1/144,,JPY,2017-06-10,
MG 1/100 Z GUNDAM Ver.2.0,MG,1/100,,JPY,2005-12-23,
HG 1/144 GUNDAM ASHTARON,HG,1/144,,JPY,2026-11-01,
MG 1/100 Z'GOK MASS PRODUCTION TYPE,MG,1/100,,JPY,2003-05-01,
HG 1/144 GUNDAM ASMODAY,HG,1/144,,JPY,2022-04-16,
MG 1/100 Z-GUNDAM,MG,1/100,,JPY,1996-04-01,
HG 1/144 GUNDAM ASTAROTH,HG,1/144,,JPY,2016-05-13,
MG 1/100 ZAKU CANNON,MG,1/100,,JPY,2008-08-01,
HG 1/144 GUNDAM ASTAROTH ORIGIN,HG,1/144,,JPY,2016-08-27,
MG 1/100 ZAKU CANNON (GUNDAM UNICORN Ver.),MG,1/100,,JPY,2013-11-01,
HG 1/144 GUNDAM ASTAROTH RINASCIMENTO,HG,1/144,,JPY,2017-07-15,
"MG 1/100 ZAKU HIGH MOBILITY TYPE ""PSYCHO ZAKU"" Ver.Ka [GUNDAM THUNDERBOLT]",MG,1/100,,JPY,2016-12-16,
HG 1/144 GUNDAM ASTRAEA,HG,1/144,,JPY,2010-07-22,
MG 1/100 ZAKU II ERIC MANTHFIELD’S CUSTOM,MG,1/100,,JPY,2016-05-01,
HG 1/144 GUNDAM ASTRAEA TYPE-F,HG,1/144,,JPY,2010-04-22,
MG 1/100 ZAKU II Ver. 2.0,MG,1/100,,JPY,2007-04-01,
