canonical_name,grade,scale,msrp,msrp_currency,original_release_date,last_reproduction_date
HG 1/144 GOUF IGNITED (HEINE WESTENFLUSS CUSTOM),HG,1/144,2600,JPY,2026-07-11,
HG 1/144 GUNDAM SANDROCK CUSTOM EW,HG,1/144,3800,JPY,2026-06-06,
HG 1/144 XI GUNDAM (MOBILE SUIT GUNDAM HATHAWAY THE SORCERY OF NYMPH CIRCE),HG,1/144,7000,JPY,2026-04-25,
HG 1/144 LEGEND GUNDAM,HG,1/144,2800,JPY,2026-01-31,
HG 1/144 GQuuuuuuX (Endymion Unit Awakened),HG,1/144,2600,JPY,2026-01-10,
HG 1/144 WHITE GUNDAM,HG,1/144,2200,JPY,2025-12-06,
HG 1/144 GUNDAM ZAGAN,HG,1/144,2800,JPY,2025-12-06,
HG 1/144 RED GUNDAM,HG,1/144,2500,JPY,2025-05-31,
HG 1/144 PSYCHO GUNDAM Mk-II,HG,1/144,10000,JPY,2025-03-22,
HG 1/144 Z'GOK (SEED FREEDOM Ver.),HG,1/144,3200,JPY,2025-02-22,
HG 1/144 DESTINY GUNDAM Spec II & ZEUS SILHOUETTE,HG,1/144,7200,JPY,2024-11-23,
HG 1/144 DRAGON GUNDAM,HG,1/144,3600,JPY,2024-11-01,
HG 1/144 THE GUNDAM BASE LIMITED G-SELF PERFECT PACK (Reconguista in G the Movie Ver.),HG,1/144,3700,JPY,2024-10-26,
HG 1/144 GUNDAM EX (RFV),HG,1/144,1900,JPY,2024-10-19,
HG 1/144 THE GUNDAM BASE LIMITED GUNDAM FSD (with PROTOTYPE LONG-RANGE BEAM RIFLE),HG,1/144,2600,JPY,2024-10-12,
HG 1/144 ALTRON GUNDAM,HG,1/144,2400,JPY,2024-10-01,
HG 1/144 RISING FREEDOM GUNDAM [RECIRCULATION COLOR/NEON YELLOW],HG,1/144,2700,JPY,2024-09-21,
HG 1/144 LIGHTNING BUSTER GUNDAM,HG,1/144,2600,JPY,2024-09-21,
HG 1/144 GUNDAM AMAZING BARBATOS LUPUS,HG,1/144,2500,JPY,2024-08-03,
HG 1/144 THE GUNDAM BASE LIMITED GUNDAM CALIBARN [CLEAR COLOR],HG,1/144,2200,JPY,2024-07-27,
HG 1/144 DUEL BLITZ GUNDAM,HG,1/144,2700,JPY,2024-07-20,
HG 1/144 MIGHTY STRIKE FREEDOM GUNDAM,HG,1/144,2700,JPY,2024-05-25,
HG 1/144 RISING FREEDOM GUNDAM,HG,1/144,2400,JPY,2024-01-26,
HG 1/144 GUNDAM AERIAL [CLEAR COLOR],HG,1/144,1600,JPY,2023-07-22,
HG 1/144 GUNDAM CALIBARN,HG,1/144,2000,JPY,2023-07-15,
MG 1/100 GUNDAM BARBATOS LUPUS,MG,1/100,6500,JPY,2025-11-22,
MG 1/100 GUNDAM VIDAR,MG,1/100,6000,JPY,2025-03-22,
MG 1/100 THE GUNDAM BASE LIMITED GUNDAM EXIA [CLEAR COLOR],MG,1/100,4400,JPY,2024-11-09,
MG 1/100 NARRATIVE GUNDAM C-PACKS Ver.Ka,MG,1/100,7000,JPY,2024-04-27,
MG 1/100 ZETA GUNDAM Ver.Ka,MG,1/100,6500,JPY,2023-04-29,
MG 1/100 GUNDAM AERIAL (FULL MECHANICS),MG,1/100,3800,JPY,2023-04-22,
MG 1/100 THE GUNDAM BASE LIMITED GUNDAM KYRIOS [CLEAR COLOR],MG,1/100,5300,JPY,2023-01-14,
MG 1/100 THE GUNDAM BASE LIMITED UNICORN GUNDAM (LUMINOUS CRYSTAL BODY),MG,1/100,7400,JPY,2022-08-22,
MG 1/100 GUNDAM EXIA [RECIRCULATION COLOR/NEON PURPLE],MG,1/100,4500,JPY,2022-06-01,
MG 1/100 THE GUNDAM BASE LIMITED GUNDAM DYNAMES [CLEAR COLOR],MG,1/100,5200,JPY,2022-03-05,
MG 1/100 GUNDAM VIRTUE,MG,1/100,8000,JPY,2021-11-27,
MG 1/100 THE GUNDAM BASE LIMITED RX-78-2 GUNDAM Ver.3.0 [TITANIUM FINISH],MG,1/100,9400,JPY,2021-08-07,
MG 1/100 THE GUNDAM BASE LIMITED FREEDOM GUNDAM Ver.2.0 [SILVER COATING],MG,1/100,9400,JPY,2021-04-10,
MG 1/100 GUNDAM Mk-V,MG,1/100,8400,JPY,2021-04-01,
MG 1/100 THE GUNDAM BASE LIMITED OZ-13MS GUNDAM EPYON EW [SPECIAL COATING],MG,1/100,8500,JPY,2021-01-08,
MG 1/100 WING GUNDAM ZERO EW Ver.Ka,MG,1/100,5500,JPY,2020-11-28,
MG 1/100 THE GUNDAM BASE LIMITED GUNDAM BARBATOS [CLEAR COLOR],MG,1/100,5100,JPY,2020-06-12,
MG 1/100 THE GUNDAM BASE LIMITED V2 ASSAULT BUSTER GUNDAM Ver.Ka [TITANIUM FINISH],MG,1/100,16000,JPY,2020-05-30,
MG 1/100 TALLGEESE III [SPECIAL COATING],MG,1/100,9800,JPY,2020-01-11,
MG 1/100 THE GUNDAM BASE LIMITED RX-78-2 GUNDAM Ver.3.0 [THE GUNDAM BASE COLOR],MG,1/100,5000,JPY,2019-11-23,
MG 1/100 THE GUNDAM BASE LIMITED UNICORN GUNDAM PERFECTIBILITY,MG,1/100,12800,JPY,2019-07-20,
MG 1/100 GUNDAM DYNAMES,MG,1/100,4500,JPY,2019-03-22,
MG 1/100 UNICORN GUNDAM 03 PHENEX (NARRATIVE Ver.),MG,1/100,13700,JPY,2018-11-01,
MG 1/100 00 QAN[T] FULL SABER,MG,1/100,5900,JPY,2018-09-15,
MG 1/100 PROVIDENCE GUNDAM,MG,1/100,5400,JPY,2017-03-18,
RG 1/144 WING GUNDAM ZERO,RG,1/144,4200,JPY,2025-09-27,
RG 1/144 SHINING GUNDAM,RG,1/144,3500,JPY,2025-06-28,
RG 1/144 ν GUNDAM (with double fin funnel),RG,1/144,5400,JPY,2024-12-21,
RG 1/144 THE GUNDAM BASE LIMITED SAZABI [MECHANICAL CORE PLATING],RG,1/144,19000,JPY,2024-12-21,
RG 1/144 AKATSUKI GUNDAM OOWASHI UNIT,RG,1/144,8000,JPY,2024-12-14,
RG 1/144 THE GUNDAM BASE LIMITED ZEONG [SPECIAL COATING],RG,1/144,12000,JPY,2024-08-17,
RG 1/144 RX-78-2 GUNDAM Ver.2.0,RG,1/144,3500,JPY,2024-08-10,
RG 1/144 FORCE IMPULSE GUNDAM Spec II,RG,1/144,3100,JPY,2024-02-10,
RG 1/144 THE GUNDAM BASE LIMITED ZGMF-X10A FREEDOM GUNDAM Ver.GCP,RG,1/144,3800,JPY,2023-12-02,
RG 1/144 GUNDAM EPYON,RG,1/144,4200,JPY,2023-09-30,
RG 1/144 THE GUNDAM BASE LIMITED RX-0 UNICORN GUNDAM (FINAL BATTLE Ver.) [SPECIAL COATING],RG,1/144,12000,JPY,2023-07-29,
RG 1/144 MSN-04FF SAZABI,RG,1/144,8100,JPY,2023-04-22,
RG 1/144 DESTINY IMPULSE GUNDAM,RG,1/144,4600,JPY,2023-04-01,
RG 1/144 THE GUNDAM BASE LIMITED Hi-ν GUNDAM [TITANIUM FINISH],RG,1/144,9400,JPY,2022-11-21,
RG 1/144 GOD GUNDAM,RG,1/144,3500,JPY,2022-08-13,
RG 1/144 RX-93ff ν GUNDAM,RG,1/144,4800,JPY,2022-04-01,
RG 1/144 THE GUNDAM BASE LIMITED ZEONG [CLEAR COLOR],RG,1/144,5700,JPY,2021-10-16,
