canonical_name,grade,scale,msrp,msrp_currency,original_release_date,last_reproduction_date
HG 1/144 DEMI BARDING,HG,1/144,,JPY,2023-06-10,
MG 1/100 GUNDAM EXIA,MG,1/100,,JPY,2009-07-01,
HG 1/144 DEMI GARRISON,HG,1/144,,JPY,2023-12-01,
MG 1/100 GUNDAM EXIA (IGNITION MODE),MG,1/100,,JPY,2010-07-01,
HG 1/144 DEMI TRAINER,HG,1/144,,JPY,2022-12-10,
MG 1/100 GUNDAM EXIA (TRANS-AM MODE),MG,1/100,,JPY,2010-02-18,
HG 1/144 DENIAL GUNDAM,HG,1/144,,JPY,2015-05-23,
MG 1/100 GUNDAM EXIA REPAIR III,MG,1/100,,JPY,2021-06-01,
HG 1/144 DESTINY GUNDAM,HG,1/144,,JPY,2019-05-31,
MG 1/100 GUNDAM F91,MG,1/100,,JPY,2006-07-29,
HG 1/144 DESTINY GUNDAM (HEINE WESTENFLUSS CUSTOM),HG,1/144,,JPY,2019-07-06,
MG 1/100 GUNDAM F91 (HARRISON'S),MG,1/100,,JPY,2006-11-18,
HG 1/144 DESTINY GUNDAM (HEINE WESTENFLUSS CUSTOM) [CLEAR COLOR],HG,1/144,,JPY,2021-09-18,
MG 1/100 GUNDAM F91 Ver.2.0,MG,1/100,,JPY,2018-05-19,
HG 1/144 DESTINY GUNDAM SpecII[FINAL BATTLE IMAGE COLOR],HG,1/144,,JPY,2025-08-01,
MG 1/100 GUNDAM F91 Ver.2.0 [TITANIUM FINISH],MG,1/100,,JPY,2021-07-01,
HG 1/144 DESULTOR,HG,1/144,,JPY,2025-02-01,
MG 1/100 GUNDAM F91 Ver.2.0(HARRISON MADIN CUSTOM),MG,1/100,,JPY,2019-10-01,
HG 1/144 DICTUS ( CALLISTO OF SHADOW CUSTOM ),HG,1/144,,JPY,2021-05-01,
MG 1/100 GUNDAM FENICE RINASCITA,MG,1/100,,JPY,2015-06-27,
HG 1/144 DIJEH,HG,1/144,,JPY,2018-12-08,
MG 1/100 GUNDAM FENICE RINASCITA ALBA,MG,1/100,,JPY,2015-10-01,
HG 1/144 DIJEH(NARRATIVE Ver.),HG,1/144,,JPY,2019-05-01,
MG 1/100 GUNDAM GP01,MG,1/100,,JPY,1997-08-01,
HG 1/144 DILANZA SOL,HG,1/144,,JPY,2023-04-08,
MG 1/100 GUNDAM GP01-Fb,MG,1/100,,JPY,1997-12-01,
HG 1/144 DILANZA STANDARD TYPE/LAUDA'S DILANZA,HG,1/144,,JPY,2022-11-05,
MG 1/100 GUNDAM GP02A,MG,1/100,,JPY,1998-06-01,
HG 1/144 DO-DAI KAI,HG,1/144,,JPY,2019-08-01,
MG 1/100 GUNDAM HEAVYARMS CUSTOM EW,MG,1/100,,JPY,2016-10-01,
HG 1/144 Dom Prototype Experimental Machine,HG,1/144,,JPY,2016-02-27,
MG 1/100 GUNDAM HEAVYARMS EW (IGEL UNIT),MG,1/100,,JPY,2019-11-01,
HG 1/144 DOM R35,HG,1/144,,JPY,2015-07-11,
MG 1/100 GUNDAM HEAVYARMS EW VER.,MG,1/100,,JPY,2012-01-28,
HG 1/144 DOM TRIPLE SET,HG,1/144,,JPY,2006-01-21,
MG 1/100 GUNDAM KYRIOS,MG,1/100,,JPY,2020-05-30,
HG 1/144 DOM TROPEN,HG,1/144,,JPY,2000-11-01,
MG 1/100 GUNDAM LIBERTY ASTRAY RED FRAME,MG,1/100,,JPY,2026-12-01,
HG 1/144 DOM/ RICK-DOM,HG,1/144,,JPY,2006-01-21,
MG 1/100 GUNDAM Mk-II A.E.U.G (WHITE),MG,1/100,,JPY,1998-08-01,
HG 1/144 DORADO,HG,1/144,,JPY,2012-01-28,
MG 1/100 GUNDAM Mk-II TITANS (BLACK),MG,1/100,,JPY,1998-08-01,
HG 1/144 DOUBLE REBAKE RIFLE,HG,1/144,,JPY,2020-12-19,
MG 1/100 GUNDAM Mk-II TITANS Ver.2.0,MG,1/100,,JPY,2006-03-25,
HG 1/144 DOVEN WOLF,HG,1/144,,JPY,2014-02-22,
MG 1/100 GUNDAM Mk-II Ver.2.0,MG,1/100,,JPY,2005-10-21,
HG 1/144 DOVEN WOLF (UNICORN VER.),HG,1/144,,JPY,2013-08-07,
MG 1/100 GUNDAM NT-1,MG,1/100,,JPY,1999-10-01,
HG 1/144 DRA-C,HG,1/144,,JPY,2011-11-26,
MG 1/100 GUNDAM NT-1 Ver.2.0,MG,1/100,,JPY,2019-06-29,
HG 1/144 Dra-C CUSTOM,HG,1/144,,JPY,2016-05-01,
MG 1/100 GUNDAM RX-78-2 ver.2.0,MG,1/100,,JPY,2008-07-26,
HG 1/144 DREISSEN,HG,1/144,,JPY,2014-02-22,
MG 1/100 GUNDAM RX-79G,MG,1/100,,JPY,2000-05-01,
HG 1/144 DREISSEN (UNICORN VER.),HG,1/144,,JPY,2011-05-21,
MG 1/100 GUNDAM SANDROCK CUSTOM EW,MG,1/100,,JPY,2017-10-01,
HG 1/144 DYNAMES TRANSAM MODE,HG,1/144,,JPY,2009-01-01,
MG 1/100 GUNDAM SANDROCK EW (ARMADILLO LIZARD),MG,1/100,,JPY,2026-03-01,
HG 1/144 EARTHREE GUNDAM,HG,1/144,,JPY,2019-10-12,
MG 1/100 GUNDAM SANDROCK EW (ARMADILLO UNIT),MG,1/100,,JPY,2020-10-01,
HG 1/144 EFREET CUSTOM,HG,1/144,,JPY,2017-09-01,
MG 1/100 GUNDAM SANDROCK EW VER.,MG,1/100,,JPY,2011-10-29,
HG 1/144 EFREET NACHT,HG,1/144,,JPY,2018-04-01,
MG 1/100 GUNDAM SPIGEL,MG,1/100,,JPY,2002-08-01,
HG 1/144 EFREET SCHNEID,HG,1/144,,JPY,2017-07-08,
MG 1/100 GUNDAM STORMBRINGER,MG,1/100,,JPY,2018-09-01,
HG 1/144 ELDORA BRUTE,HG,1/144,,JPY,2019-12-21,
MG 1/100 GUNDAM TR-1 [ADVANCED HAZEL],MG,1/100,,JPY,2018-05-01,
HG 1/144 ELDORA DAUGHTRESS,HG,1/144,,JPY,2020-02-01,
MG 1/100 GUNDAM TR-1 [HAZEL CUSTOM],MG,1/100,,JPY,2017-09-01,
HG 1/144 ELDORA WINDAM,HG,1/144,,JPY,2020-09-01,
MG 1/100 GUNDAM TR-1 [HAZEL CUSTOM] (COMBAT DEPLOYMENT COLORS),MG,1/100,,JPY,2018-02-01,
HG 1/144 ELF BULLOCK (MASK CUSTOM),HG,1/144,,JPY,2015-02-07,
MG 1/100 GUNDAM TR-1 [HAZEL OWSLA],MG,1/100,,JPY,2020-12-01,
HG 1/144 ELF BULLOCK MASS PRODUCTION TYPE,HG,1/144,,JPY,2015-06-01,
MG 1/100 GUNDAM TR-1 [HAZELII] EARLY TYPE / HAZEL RESERVE UNIT / GM QUEL,MG,1/100,,JPY,2019-09-01,
HG 1/144 EMERGENCY ESCAPE POD [PRIMROSE],HG,1/144,,JPY,2019-07-01,
MG 1/100 GUNDAM X UNIT 3,MG,1/100,,JPY,2018-07-01,
HG 1/144 EWAC JEGAN,HG,1/144,,JPY,2018-02-01,
MG 1/100 GUNTANK,MG,1/100,,JPY,2009-09-17,
HG 1/144 EWAC ZACK/GAZA C/GEARA DOGA (GUNDAM UNICORN Ver.) SET,HG,1/144,,JPY,2013-11-01,
MG 1/100 GX-9900 GUNDAM X,MG,1/100,,JPY,2014-01-11,
HG 1/144 EWACK-ZACK,HG,1/144,,JPY,2009-06-01,
MG 1/100 GYAN,MG,1/100,,JPY,2006-05-27,
HG 1/144 EX-S GUNDAM,HG,1/144,,JPY,2002-04-01,
MG 1/100 HEAVY GUNDAM,MG,1/100,,JPY,2015-09-01,
HG 1/144 EXIA TRANSAM MODE,HG,1/144,,JPY,2009-01-01,
MG 1/100 Hi-NEW GUNDAM Ver.Ka,MG,1/100,,JPY,2014-08-30,
HG 1/144 EXTREME GUNDAM,HG,1/144,,JPY,2011-02-19,
MG 1/100 HI-ZACK,MG,1/100,,JPY,2004-08-01,
HG 1/144 Ez-ARMS,HG,1/144,,JPY,2014-11-15,
MG 1/100 Hi-νGUNDAM,MG,1/100,,JPY,2007-02-01,
HG 1/144 Ez-SR-FOXHOUND,HG,1/144,,JPY,2016-04-01,
MG 1/100 HYAKU SHIKI-KAI,MG,1/100,,JPY,2016-08-01,
HG 1/144 F2-ZAKU (EARTH FEDERATION TYPE),HG,1/144,,JPY,2010-03-11,
