canonical_name,grade,scale,msrp,msrp_currency,original_release_date,last_reproduction_date
HG 1/144 GUNDAM X JUMAOH,HG,1/144,,JPY,2017-11-01,
HG 1/144 GUNDAM X MAOU,HG,1/144,,JPY,2013-11-09,
HG 1/144 GUNDAM ZABANYA,HG,1/144,,JPY,2010-08-28,
HG 1/144 GUNDAM ZABANYA (FINAL BATTLE Ver.),HG,1/144,,JPY,2021-12-01,
HG 1/144 GUNDAM ZERACHIEL,HG,1/144,,JPY,2019-02-09,
HG 1/144 GUNDNODE,HG,1/144,,JPY,2024-06-01,
HG 1/144 GUNPLA BATTLE ARM ARMS,HG,1/144,,JPY,2014-03-15,
HG 1/144 GUNPLA STARTER SET,HG,1/144,,JPY,2010-07-15,
HG 1/144 GUNPLA STARTER SET vol.2,HG,1/144,,JPY,2011-03-26,
HG 1/144 GUNTANK,HG,1/144,,JPY,2000-01-01,
HG 1/144 GUNTANK EARLY TYPE,HG,1/144,,JPY,2015-05-15,
HG 1/144 GUSTAV KARL (UNICORN Ver.),HG,1/144,,JPY,2019-02-16,
HG 1/144 GUSTAV KARL TYPE-00,HG,1/144,,JPY,2026-02-07,
HG 1/144 GYAN,HG,1/144,,JPY,1999-07-01,
HG 1/144 GYAN Strom (HILDA HAKEN CUSTOM),HG,1/144,,JPY,2024-08-01,
HG 1/144 GYANCELOT,HG,1/144,,JPY,2016-08-06,
HG 1/144 HAMBRABI,HG,1/144,,JPY,2012-08-25,
HG 1/144 HAMBRABI SUBAN,HG,1/144,,JPY,2017-08-01,
HG 1/144 HAMBRABI(GQ),HG,1/144,,JPY,2026-06-26,
HG 1/144 HAZEL CUSTOM,HG,1/144,,JPY,2005-09-17,
HG 1/144 HAZEL HIGH MANEUVER,HG,1/144,,JPY,2005-11-26,
HG 1/144 HEINDREE,HG,1/144,,JPY,2023-02-18,
HG 1/144 HEINDREE STURM,HG,1/144,,JPY,2023-05-20,
HG 1/144 HEINGRA,HG,1/144,,JPY,2024-05-01,
HG 1/144 HEKIJA,HG,1/144,,JPY,2017-01-14,
HG 1/144 HELMWIGE REINCAR,HG,1/144,,JPY,2017-01-28,
HG 1/144 HI-MOCK,HG,1/144,,JPY,2015-01-24,
HG 1/144 Hi-NU GUNDAM VRABE,HG,1/144,,JPY,2015-02-21,
HG 1/144 Hi-vGUNDAM INFLUX,HG,1/144,,JPY,2016-04-01,
HG 1/144 HI-ZACK,HG,1/144,,JPY,2000-07-01,
HG 1/144 HI-ZACK (EARTH FEDERATION),HG,1/144,,JPY,2005-07-09,
