canonical_name,grade,scale,msrp,msrp_currency,original_release_date,last_reproduction_date
HG 1/144 GELGOOG JÄGER,HG,1/144,1200,JPY,2004-04-01,
MG 1/100 MSM-07 Z'GOK (CHAR'S CUSTOM),MG,1/100,3150,JPY,2003-11-01,
HG 1/144 GELGOOG MARINE,HG,1/144,1200,JPY,2000-10-01,
MG 1/100 MSN-02 ZEONG,MG,1/100,6000,JPY,2002-07-01,
HG 1/144 GELGOOG Menace,HG,1/144,3190,JPY,2024-10-01,
MG 1/100 MSN-04 SAZABI,MG,1/100,8800,JPY,2000-07-01,
HG 1/144 GELGOOG VERTEX,HG,1/144,2750,JPY,2021-06-01,
MG 1/100 MSN-04 SAZABI Ver.Ka,MG,1/100,9400,JPY,2013-12-14,
HG 1/144 GELGOOG(GQ),HG,1/144,2420,JPY,2026-05-01,
MG 1/100 MSN-06S SINANJU STEIN Ver. Ka,MG,1/100,7350,JPY,2013-02-23,
HG 1/144 GELGOOG(UNICORN Ver.),HG,1/144,2090,JPY,2017-05-01,
MG 1/100 MSN-100 HYAKU-SHIKI,MG,1/100,5500,JPY,2001-03-01,
HG 1/144 GELGOOG/ GELGOOG CANNON,HG,1/144,1600,JPY,2007-03-01,
MG 1/100 MSZ-006-3B ZETA GUNDAM 3B TYPE GRAY ZETA,MG,1/100,6500,JPY,2015-02-01,
HG 1/144 GENOACE,HG,1/144,1200,JPY,2011-10-22,
MG 1/100 MSZ-006A1 ZETAPLUS,MG,1/100,3150,JPY,2001-10-01,
HG 1/144 GENOACE CUSTOM,HG,1/144,1200,JPY,2011-11-12,
MG 1/100 MSZ-006C1 ZETAPLUS,MG,1/100,3150,JPY,2002-02-01,
HG 1/144 GENOACE II,HG,1/144,1200,JPY,2012-03-17,
MG 1/100 MSZ-006P2/3C ZETA GUNDAM III P2 TYPE RED ZETA,MG,1/100,6500,JPY,2015-06-01,
HG 1/144 GENOACE O CUSTOM,HG,1/144,1980,JPY,2025-07-01,
MG 1/100 MUSHA GUNDAM MK-II,MG,1/100,6300,JPY,2010-05-27,
HG 1/144 GERBERA TETRA (ROLL OUT Ver.),HG,1/144,2200,JPY,2016-05-01,
MG 1/100 M’QUVE’S GOUF,MG,1/100,4500,JPY,2014-08-01,
