canonical_name,grade,scale,msrp,msrp_currency,original_release_date,last_reproduction_date
HG 1/144 BUILD STRIKE GALAXY COSMOS,HG,1/144,1800,JPY,2018-02-24,
MG 1/100 GELGOG MASS PRODUCTION TYPE,MG,1/100,3150,JPY,1997-09-01,
HG 1/144 BUILD STRIKE GUNDAM FULL PACKAGE,HG,1/144,1400,JPY,2013-10-05,
MG 1/100 GELGOOG,MG,1/100,3000,JPY,1996-12-01,
HG 1/144 BUILD Γ GUNDAM,HG,1/144,2090,JPY,2020-01-01,
MG 1/100 GELGOOG CANNON,MG,1/100,3000,JPY,1997-03-01,
HG 1/144 BUSHIDO'S AHEAD,HG,1/144,1200,JPY,2008-12-07,
MG 1/100 GF13-017NJII G GUNDAM,MG,1/100,2900,JPY,2001-11-01,
HG 1/144 BYARLANT,HG,1/144,2600,JPY,2018-07-07,
MG 1/100 GINN GLADIATOR,MG,1/100,6600,JPY,2022-07-01,
HG 1/144 BYARLANT CUSTOM,HG,1/144,2600,JPY,2012-11-10,
MG 1/100 GM (COLD DISTRICTS TYPE),MG,1/100,4290,JPY,2019-06-01,
HG 1/144 BYARLANT CUSTOM 02,HG,1/144,3520,JPY,2014-02-01,
MG 1/100 GM CANNON (NORTH AMERICAN FRONT),MG,1/100,4400,JPY,2017-04-01,
HG 1/144 BYARLANT CUSTOM 02 (BANDE DESSINEE VER.),HG,1/144,3520,JPY,2014-02-01,
MG 1/100 GM CANNON [RED HEAD](JABRO DEFENSE TEAM CUSTOM),MG,1/100,4400,JPY,2019-02-01,
HG 1/144 BYARLANT ISOLDE,HG,1/144,3080,JPY,2017-08-01,
MG 1/100 GM COMMAND SPACE,MG,1/100,4290,JPY,2017-11-01,
HG 1/144 CARTA'S GRAZE RITTER,HG,1/144,1200,JPY,2016-03-12,
MG 1/100 GM SNIPER,MG,1/100,3500,JPY,2006-11-29,
HG 1/144 CATHEDRAL GUNDAM,HG,1/144,2530,JPY,2015-08-01,
MG 1/100 GM SNIPER CUSTOM,MG,1/100,4320,JPY,2017-11-11,
HG 1/144 CATSITH,HG,1/144,1944,JPY,2015-04-29,
MG 1/100 GM SNIPERII,MG,1/100,3800,JPY,2017-01-21,
