canonical_name,grade,scale,msrp,msrp_currency,original_release_date,last_reproduction_date
HG 1/144 CHALLIA'S RICK DOM(GQ),HG,1/144,3300,JPY,2026-02-07,
MG 1/100 GMII SEMI STRIKER,MG,1/100,5060,JPY,2019-01-01,
HG 1/144 CHANGELING RIFLE,HG,1/144,648,JPY,2018-04-14,
MG 1/100 GMII(A.E.U.G COLOR Ver.),MG,1/100,,JPY,2020-09-01,
HG 1/144 CHAR'S GELGOOG,HG,1/144,1575,JPY,2006-10-14,
MG 1/100 GMII(UNICORN Ver.),MG,1/100,,JPY,2017-09-01,
HG 1/144 CHAR'S ZAKU(GQ),HG,1/144,2200,JPY,2025-12-06,
MG 1/100 GN-X,MG,1/100,5500,JPY,2010-01-28,
HG 1/144 CHAR'S ZAKUII,HG,1/144,,JPY,2015-04-24,
MG 1/100 GN-X III (A-LAWS TYPE),MG,1/100,4730,JPY,2018-05-01,
HG 1/144 CHERUDIM GUNDAM,HG,1/144,1200,JPY,2008-10-01,
MG 1/100 GN-X III (ESF COLORS),MG,1/100,4730,JPY,2018-12-01,
HG 1/144 CHERUDIM GUNDAM (TRANS-AM MODE),HG,1/144,1260,JPY,2009-12-17,
MG 1/100 GOGG,MG,1/100,3900,JPY,2003-06-01,
HG 1/144 CHERUDIM GUNDAM GNHW/R,HG,1/144,1200,JPY,2009-07-01,
MG 1/100 GOUF Ver.2.0,MG,1/100,3800,JPY,2009-05-01,
HG 1/144 CHERUDIM GUNDAM SAGA TYPE. GBF,HG,1/144,1800,JPY,2017-11-11,
MG 1/100 GUNDAM,MG,1/100,9240,JPY,1995-07-01,
HG 1/144 CHINAGGUY,HG,1/144,,JPY,2017-07-29,
MG 1/100 GUNDAM AERIAL (PERMET SCORE SIX) (FULL MECHANICS),MG,1/100,,JPY,2024-07-01,
HG 1/144 CHINYAGGUY,HG,1/144,2640,JPY,2017-10-01,
MG 1/100 GUNDAM AGE-1 NORMAL,MG,1/100,4200,JPY,2012-02-25,
HG 1/144 CHUCHU'S DEMI TRAINER,HG,1/144,1400,JPY,2022-11-05,
MG 1/100 GUNDAM AGE-1 SPALLOW,MG,1/100,3500,JPY,2012-04-28,
HG 1/144 CLANCHE,HG,1/144,1300,JPY,2012-09-08,
MG 1/100 GUNDAM AGE-1 TITUS,MG,1/100,3500,JPY,2012-03-17,
HG 1/144 CLANCHE CUSTOM,HG,1/144,1300,JPY,2012-12-08,
MG 1/100 GUNDAM AGE-1F/2,MG,1/100,4290,JPY,2013-09-01,
HG 1/144 COMMAND FUMINA,HG,1/144,2640,JPY,2017-11-01,
MG 1/100 GUNDAM AGE-2 DARK HOUND,MG,1/100,4600,JPY,2012-11-17,
HG 1/144 CORE GUNDAM (G3 COLOR) & VEETWO UNIT,HG,1/144,1540,JPY,2019-11-09,
MG 1/100 GUNDAM AGE-2 DOUBLE BULLET,MG,1/100,4200,JPY,2013-06-21,
HG 1/144 CORE GUNDAM (REAL TYPE COLOR) & MARSFOUR UNIT,HG,1/144,1540,JPY,2019-11-16,
MG 1/100 GUNDAM AGE-2 NORMAL,MG,1/100,4200,JPY,2012-08-11,
HG 1/144 CROSS BONE GUNDAM MAOH,HG,1/144,1800,JPY,2014-04-12,
MG 1/100 GUNDAM AGE-2 NORMAL SP ver.,MG,1/100,5280,JPY,2013-09-01,
HG 1/144 CROSSBONE GUNDAM X-0,HG,1/144,2530,JPY,2018-04-01,
MG 1/100 GUNDAM AGEII MAGNUM,MG,1/100,6050,JPY,2019-03-27,
HG 1/144 CROSSBONE GUNDAM X-0 FULL CLOTH,HG,1/144,2750,JPY,2021-05-01,
MG 1/100 GUNDAM AMAZING EXIA,MG,1/100,5500,JPY,2015-12-01,
HG 1/144 CROSSBONE GUNDAM X1,HG,1/144,1800,JPY,2014-11-15,
MG 1/100 GUNDAM AMAZING RED WARRIOR,MG,1/100,4800,JPY,2015-08-29,
HG 1/144 CROSSBONE GUNDAM X1 FULL CLOTH,HG,1/144,2530,JPY,2020-08-01,
MG 1/100 GUNDAM ASTRAEA + PROTO GN TWIN BROAD BLADE,MG,1/100,7150,JPY,2025-01-01,
HG 1/144 CROSSBONE GUNDAM X1 FULL CLOTH TYPE.GBFT,HG,1/144,2376,JPY,2015-04-24,
MG 1/100 GUNDAM ASTRAEA TYPE-F (FULL WEAPON SET),MG,1/100,6820,JPY,2022-04-01,
HG 1/144 CROSSBONE GUNDAM X1 KAI,HG,1/144,2200,JPY,2015-05-01,
MG 1/100 GUNDAM ASTRAY BLUE FRAME 2nd REVISE,MG,1/100,4800,JPY,2009-10-22,
HG 1/144 CROSSBONE GUNDAM X2,HG,1/144,2200,JPY,2016-05-01,
MG 1/100 GUNDAM Astray Blue Frame D,MG,1/100,4800,JPY,2014-11-22,
HG 1/144 CROSSBONE GUNDAM X2 KAI,HG,1/144,2200,JPY,2015-06-01,
MG 1/100 GUNDAM ASTRAY MIRAGE FRAME 2nd ISSUE,MG,1/100,6600,JPY,2025-11-01,
HG 1/144 CROSSBONE GUNDAM X3,HG,1/144,2200,JPY,2017-02-01,
MG 1/100 GUNDAM ASTRAY NOIR,MG,1/100,5500,JPY,2014-01-01,
HG 1/144 CYCLASE’S SCHWALBE CUSTOM,HG,1/144,1600,JPY,2022-05-21,
MG 1/100 GUNDAM ASTRAY OUT FRAME D,MG,1/100,6380,JPY,2023-04-01,
HG 1/144 D GUNDAM SECOND,HG,1/144,3080,JPY,2026-05-01,
MG 1/100 GUNDAM ASTRAY RED FRAME,MG,1/100,4950,JPY,2014-01-01,
HG 1/144 DAGGER L,HG,1/144,1200,JPY,2021-04-10,
MG 1/100 GUNDAM ASTRAY RED FRAME FLIGHT UNIT,MG,1/100,7150,JPY,2020-08-01,
HG 1/144 DAHACK,HG,1/144,1944,JPY,2015-05-15,
MG 1/100 GUNDAM BARBATOS,MG,1/100,4950,JPY,2019-12-21,
HG 1/144 DANAZINE,HG,1/144,1500,JPY,2012-05-12,
MG 1/100 GUNDAM BASE LIMITED MSN-04 SAZABI VER.KA [SPECIAL COATING],MG,1/100,20240,JPY,2018-07-01,
HG 1/144 DARILBALDE,HG,1/144,1900,JPY,2022-12-03,
MG 1/100 GUNDAM DEATHSCYTHE EW (ROUSSETTE UNIT),MG,1/100,4950,JPY,2020-04-01,
HG 1/144 DARK DAGGER L,HG,1/144,1650,JPY,2024-04-01,
MG 1/100 GUNDAM DEATHSCYTHE EW VER.,MG,1/100,,JPY,2010-09-24,
HG 1/144 DAUGHTRESS,HG,1/144,1540,JPY,2020-10-01,
MG 1/100 GUNDAM DOUBLE X,MG,1/100,4860,JPY,2015-03-28,
HG 1/144 DEATH ARMY,HG,1/144,1400,JPY,2019-11-09,
MG 1/100 GUNDAM DYNAMES(TRANS-AM MODE)[METALLIC GROSS INJECTION],MG,1/100,5500,JPY,2019-11-01,
HG 1/144 DEBORAH’S ADVANCED GN-X,HG,1/144,2200,JPY,2019-04-01,
MG 1/100 GUNDAM EPYON EW VER.,MG,1/100,5200,JPY,2011-06-25,
HG 1/144 DELTA GUNDAM,HG,1/144,5200,JPY,2012-03-08,
MG 1/100 GUNDAM Ex IMPULSE,MG,1/100,6600,JPY,2022-08-01,
