canonical_name,grade,scale,msrp,msrp_currency,original_release_date,last_reproduction_date
HG 1/144 BALLDEN ARM ARMS,HG,1/144,864,JPY,2015-05-15,
MG 1/100 DEATHSCYTHE HELL EW VER.,MG,1/100,4900,JPY,2011-02-26,
RG 1/144 PERFECT STRIKE GUNDAM,RG,1/144,4400,JPY,2019-09-01,
HG 1/144 BAQTO,HG,1/144,1500,JPY,2011-12-10,
MG 1/100 DEBORAH’S ADVANCED GN-X,MG,1/100,4620,JPY,2017-11-01,
RG 1/144 RX-78 GP01,RG,1/144,,JPY,2013-07-27,
HG 1/144 BARZAM,HG,1/144,1500,JPY,2017-05-20,
MG 1/100 DELTA PLUS,MG,1/100,4725,JPY,2011-08-06,
RG 1/144 RX-78-3 G-3 GUNDAM,RG,1/144,4500,JPY,2015-04-01,
HG 1/144 BARZAM(RE-ZEON CAPTURED),HG,1/144,2420,JPY,2021-07-01,
MG 1/100 DESTINY GUNDAM,MG,1/100,4800,JPY,2007-10-01,
RG 1/144 RX-93ff ν GUNDAM [CLEAR COLOR],RG,1/144,5280,JPY,2024-07-27,
HG 1/144 BARZAM(TITANS),HG,1/144,2420,JPY,2021-07-01,
MG 1/100 DESTINY GUNDAM SPECIAL EDITION,MG,1/100,7000,JPY,2007-10-01,
RG 1/144 STRIKE FREEDOM GUNDAM[TITANIUM FINISH],RG,1/144,9020,JPY,2021-01-01,
HG 1/144 BASE JABBER ( ZETA GUNDAM Ver.),HG,1/144,,JPY,2013-06-01,
MG 1/100 DESTINY IMPULSE GUNDAM R (REGENES),MG,1/100,5720,JPY,2014-02-01,
RG 1/144 STRIKE ROUGE + HG I.W.S.P.,RG,1/144,3300,JPY,2013-01-01,
HG 1/144 BASE JABBER (UNICORN Ver.),HG,1/144,1000,JPY,2012-07-14,
MG 1/100 DUEL GUNDAM ASSAULTSHROUD,MG,1/100,4600,JPY,2012-02-18,
RG 1/144 SWORD IMPULSE GUNDAM,RG,1/144,3850,JPY,2020-11-01,
HG 1/144 BASE JABBER TYPE 89,HG,1/144,1260,JPY,2013-06-15,
MG 1/100 DWADGE,MG,1/100,5940,JPY,2019-04-01,
RG 1/144 SWORD IMPULSE GUNDAM SpecII,RG,1/144,4180,JPY,2025-03-01,
HG 1/144 BAUND DOC (GATES CAPA CUSTOM),HG,1/144,5500,JPY,2021-10-01,
MG 1/100 DWADGE CUSTOM,MG,1/100,6050,JPY,2019-11-01,
RG 1/144 TALLGEESE EW,RG,1/144,2500,JPY,2018-04-28,
HG 1/144 BAUND-DOC,HG,1/144,2420,JPY,2020-10-24,
MG 1/100 ECLIPSE GUNDAM,MG,1/100,5000,JPY,2021-08-21,
RG 1/144 TALLGEESE EW [TITANIUM FINISH],RG,1/144,6820,JPY,2018-10-01,
HG 1/144 BEARGGUY F [Family],HG,1/144,1944,JPY,2014-11-29,
