canonical_name,grade,scale,msrp,msrp_currency,original_release_date,last_reproduction_date
HG 1/144 MARASAI (UNICORN VER.),HG,1/144,,JPY,2012-03-24,
HG 1/144 MASS-PRODUCED ZEONIC SWORD,HG,1/144,,JPY,2019-12-21,
HG 1/144 MASTER GUNDAM & FUUNSAIKI,HG,1/144,,JPY,2011-08-27,
HG 1/144 MASURAO,HG,1/144,,JPY,2009-12-10,
HG 1/144 MCGILLIS'S SCHWALBE GRAZE,HG,1/144,,JPY,2015-10-17,
HG 1/144 MEGA BAZOOKA LAUNCHER,HG,1/144,,JPY,2016-09-01,
HG 1/144 MEGA BAZOOKA LAUNCHER (CONROY USE),HG,1/144,,JPY,2019-08-01,
HG 1/144 MEGA RIDE LAUNCHER,HG,1/144,,JPY,2014-12-20,
HG 1/144 MEGA-SHIKI,HG,1/144,,JPY,2014-12-20,
HG 1/144 MESSALA,HG,1/144,,JPY,2013-06-15,
HG 1/144 MESSER TYPE-F01,HG,1/144,,JPY,2020-07-04,
HG 1/144 MESSER TYPE-F02,HG,1/144,,JPY,2021-09-01,
HG 1/144 MESSER TYPE-F02 (COMMANDER TYPE),HG,1/144,,JPY,2021-09-01,
HG 1/144 MESSER TYPE-F02 MINELAYER,HG,1/144,,JPY,2025-08-01,
HG 1/144 MESSER TYPE-M01 (GAWMAN USE),HG,1/144,,JPY,2026-05-30,
HG 1/144 METEOR HOPPER,HG,1/144,,JPY,2013-12-07,
HG 1/144 METHUS,HG,1/144,,JPY,2006-03-18,
HG 1/144 MICHAELIS,HG,1/144,,JPY,2023-01-14,
HG 1/144 MISS SAZABI,HG,1/144,,JPY,2014-03-08,
HG 1/144 MOBILE ARMOR HASHMAL,HG,1/144,,JPY,2016-12-16,
HG 1/144 MOBILE GINN (MIGUEL'S GINN),HG,1/144,,JPY,2004-05-01,
HG 1/144 MOBILE REGINLAZE (STANDARD TYPE),HG,1/144,,JPY,2017-05-01,
HG 1/144 MOBILE WORKER MW-01 MODEL 01 LATE TYPE (MASH),HG,1/144,,JPY,2015-10-31,
HG 1/144 MOBILE WORKER MW-01 MODEL 01 LATE TYPE [RAMBA RAL],HG,1/144,,JPY,2016-01-01,
HG 1/144 MOCK ARMY SET,HG,1/144,,JPY,2015-01-24,
HG 1/144 MOMOKAPOOL,HG,1/144,,JPY,2018-05-19,
HG 1/144 MONTERO KLIM NICK CUSTOM,HG,1/144,,JPY,2014-11-08,
HG 1/144 MOON GUNDAM,HG,1/144,,JPY,2018-09-22,
HG 1/144 MOON GUNDAM [CLEAR COLOR],HG,1/144,,JPY,2019-10-12,
HG 1/144 Mrs. LOHENG-RINKO,HG,1/144,,JPY,2018-03-10,
HG 1/144 MS-04 BUGU,HG,1/144,,JPY,2017-02-01,
HG 1/144 MS-04 BUGU [RAMBA RAL],HG,1/144,,JPY,2016-12-03,
HG 1/144 MS-05 ZAKU I [CHAR AZNABLE],HG,1/144,,JPY,2017-03-11,
HG 1/144 MS-05 ZAKUI [BLACK TRI-STARS],HG,1/144,,JPY,2017-06-01,
HG 1/144 MS-05S CHAR AZNABLE'S ZAKU I,HG,1/144,,JPY,2016-12-10,
HG 1/144 MS-05S CHAR AZNABLE’S ZAKU I(Limited Package Ver.),HG,1/144,,JPY,2019-09-01,
HG 1/144 MS-06 ZAKU II,HG,1/144,,JPY,2021-12-04,
HG 1/144 MS-06R-1A SHIN MATSUNAGA ZAKU II,HG,1/144,,JPY,2013-03-09,
HG 1/144 MS-06R-1A ZAKU II BLACK TRISTARS,HG,1/144,,JPY,2013-02-16,
HG 1/144 MS-06R-1A ZAKUII GAIA/MASH CUSTOM,HG,1/144,,JPY,2015-06-13,
HG 1/144 MS-06R-1A ZAKUII ORTEGA CUSTOM,HG,1/144,,JPY,2015-09-19,
HG 1/144 MS-06R-2 ZAKUII JOHNNY RIDDEN CUSTOM,HG,1/144,,JPY,2013-11-30,
HG 1/144 MS-06S ZAKU II PRINCIPALITY OF ZEON CHAR AZNABLE’S MOBILE SUIT Red Comet Ver.,HG,1/144,,JPY,2019-04-27,
HG 1/144 MS-06S ZAKUII,HG,1/144,,JPY,2002-07-01,
HG 1/144 MS-09F DOMTROPEN (SAND BROWN),HG,1/144,,JPY,2002-02-01,
HG 1/144 MS-09RS ANAVEL GATO’S RICK DOM,HG,1/144,,JPY,2014-08-01,
HG 1/144 MS-14B JOHNNY RIDDEN’S GELGOOG,HG,1/144,,JPY,2018-09-01,
HG 1/144 MS-14Fs GELGOOG MARINE CIMA CUSTOM,HG,1/144,,JPY,2002-01-01,
HG 1/144 MSA-0011 S-GUNDAM,HG,1/144,,JPY,2001-09-01,
HG 1/144 MSA-003 NEMO (UNICORN DESERT COLOR Ver. ),HG,1/144,,JPY,2013-11-16,
HG 1/144 MSA-009 RICK DIAS (RED),HG,1/144,,JPY,2002-08-01,
HG 1/144 MSM-07E Z'GOCK E,HG,1/144,,JPY,2003-08-01,
HG 1/144 MSM-07S Z'GOCK (CHAR'S CUSTOM),HG,1/144,,JPY,2001-02-01,
HG 1/144 MSN-02 ZEONG,HG,1/144,,JPY,2001-06-01,
HG 1/144 MURASAME KAI,HG,1/144,,JPY,2024-10-19,
HG 1/144 NARRATIVE GUNDAM A-PACKS,HG,1/144,,JPY,2018-11-30,
HG 1/144 NARRATIVE GUNDAM C-PACKS,HG,1/144,,JPY,2019-03-09,
HG 1/144 NEMO (UNICORN VER.),HG,1/144,,JPY,2012-04-21,
HG 1/144 NEMO (Z Ver.),HG,1/144,,JPY,2013-01-26,
HG 1/144 NEO ZEONG,HG,1/144,,JPY,2014-06-28,
HG 1/144 NIGHTINGALE,HG,1/144,,JPY,2021-07-22,
HG 1/144 NINPULSE GUNDAM,HG,1/144,,JPY,2017-08-11,
HG 1/144 NO-NAME RIFLE,HG,1/144,,JPY,2018-09-08,
HG 1/144 NOBELL GUNDAM,HG,1/144,,JPY,2011-01-09,
HG 1/144 NOBELL GUNDAM (BERSERKER MODE),HG,1/144,,JPY,2011-09-10,
HG 1/144 NZ-666 KSHATRIYA,HG,1/144,,JPY,2009-10-15,
HG 1/144 O GUNDAM,HG,1/144,,JPY,2009-09-04,
HG 1/144 O GUNDAM(Type A.C.D.),HG,1/144,,JPY,2009-06-01,
HG 1/144 O RAISER,HG,1/144,,JPY,2009-01-01,
HG 1/144 OGRE GN-X,HG,1/144,,JPY,2018-05-19,
HG 1/144 OLTLINDE,HG,1/144,,JPY,2023-09-01,
HG 1/144 OO GUNDAM,HG,1/144,,JPY,2008-09-01,
HG 1/144 OO GUNDAM SEVEN SWORD/G,HG,1/144,,JPY,2010-02-10,
HG 1/144 OO QAN[T],HG,1/144,,JPY,2010-08-07,
HG 1/144 OO RAISER GN CONDENSER TYPE,HG,1/144,,JPY,2010-10-09,
HG 1/144 OO RAISER+GN SWORD III,HG,1/144,,JPY,2009-10-15,
HG 1/144 OO-RAISER DESIGNER'S COLOR Ver.,HG,1/144,,JPY,2009-02-14,
HG 1/144 ORGA'S IO FRAME SHIDEN CUSTOM,HG,1/144,,JPY,2017-07-01,
HG 1/144 ORX-005 GAPLANT,HG,1/144,,JPY,2003-11-01,
HG 1/144 ORX-005 GAPLANT TR-5 HRAIROO,HG,1/144,,JPY,2006-12-23,
HG 1/144 OVER FLAG,HG,1/144,,JPY,2008-03-01,
HG 1/144 PALACE-ATHENE,HG,1/144,,JPY,2006-02-25,
HG 1/144 PALE RIDER (SPACE TYPE),HG,1/144,,JPY,2017-08-01,
HG 1/144 PALE RIDER CAVALRY,HG,1/144,,JPY,2021-04-01,
HG 1/144 PALE RIDER DII (TITANS),HG,1/144,,JPY,2021-08-01,
HG 1/144 PALE RIDER(GROUND HEAVY EQUIPMENT TYPE),HG,1/144,,JPY,2015-04-01,
HG 1/144 PAPA'GGUY,HG,1/144,,JPY,2017-02-11,
HG 1/144 PENELOPE,HG,1/144,,JPY,2019-10-26,
HG 1/144 PETIT'GUY MASS PRODUCTION TYPE,HG,1/144,,JPY,2015-08-22,
HG 1/144 PHANTOM GUNDAM,HG,1/144,,JPY,2022-06-01,
HG 1/144 PLE TWO’S QUBELEY Mk-II,HG,1/144,,JPY,2016-03-01,
HG 1/144 PLUMA SET (INVASION OF CHRYSE),HG,1/144,,JPY,2017-06-01,
HG 1/144 PMX-003 THE-O,HG,1/144,,JPY,2002-12-01,
HG 1/144 POLICE ZAKU,HG,1/144,,JPY,2025-04-12,
HG 1/144 POWERED ARMS POWEREDER,HG,1/144,,JPY,2014-10-11,
HG 1/144 POWERED GM CARDIGAN,HG,1/144,,JPY,2014-10-11,
HG 1/144 PROTOTYPE GOUF (TACTICAL DEMONSTRATOR),HG,1/144,,JPY,2015-09-19,
HG 1/144 PSYCHO GM,HG,1/144,,JPY,2017-12-01,
HG 1/144 PSYCHO GUNDAM,HG,1/144,,JPY,2004-08-01,
HG 1/144 PTOLEMAIOS ARMS,HG,1/144,,JPY,2018-06-30,
