canonical_name,grade,scale,msrp,msrp_currency,original_release_date,last_reproduction_date
MG 1/100 MS-06R-2 J RIDDEN ZAKU Ver.2.0,MG,1/100,,JPY,2008-09-13,
HG 1/144 GAZ-R/L,HG,1/144,,JPY,2019-01-01,
MG 1/100 MS-06R-2 ROBERT GILLIAM’S ZAKU II,MG,1/100,,JPY,2016-11-01,
HG 1/144 GAZA C (HAMAN KARN'S MOBILE SUIT),HG,1/144,,JPY,2006-04-08,
MG 1/100 MS-06S CHAR'S ZAKU Ver. 2.0,MG,1/100,,JPY,2007-05-01,
HG 1/144 GAZA C (NORMAL TYPE),HG,1/144,,JPY,2006-04-08,
MG 1/100 MS-06S ZAKU II Ver2.0 REAL TYPE COLOR,MG,1/100,,JPY,2012-06-01,
HG 1/144 GBN-BASE GUNDAM,HG,1/144,,JPY,2019-01-19,
MG 1/100 MS-06S ZAKUII,MG,1/100,,JPY,1995-11-01,
HG 1/144 GBN-GUARD FRAME,HG,1/144,,JPY,2018-11-17,
MG 1/100 MS-06S ZAKUII JOHNNY RIDDEN CUSTOM,MG,1/100,,JPY,2013-05-01,
HG 1/144 GEARA DOGA,HG,1/144,,JPY,2008-11-15,
MG 1/100 MS-07B GOUF,MG,1/100,,JPY,2000-10-01,
HG 1/144 GEARA DOGA (FULL FRONTAL USE),HG,1/144,,JPY,2012-07-01,
MG 1/100 MS-07B3 GOUF CUSTOM,MG,1/100,,JPY,2001-02-01,
HG 1/144 GEARA DOGA (REZIN CUSTOM),HG,1/144,,JPY,2009-01-17,
MG 1/100 MS-07B3 GOUF CUSTOM (GRAVITY BATTLE LINE IMAGE COLOR VER.),MG,1/100,,JPY,2009-07-01,
HG 1/144 GEARA GHIRARGA,HG,1/144,,JPY,2018-06-23,
MG 1/100 MS-09 DOM (GRAVITY BATTLE LINE IMAGE COLOR VER.),MG,1/100,,JPY,2009-07-01,
HG 1/144 GEARA ZULU,HG,1/144,,JPY,2009-12-26,
MG 1/100 MS-09R RICK DOM (DOZLE ZABI USE),MG,1/100,,JPY,2015-03-01,
HG 1/144 GEARA ZULU (BODY GUARD TYPE),HG,1/144,,JPY,2011-03-05,
MG 1/100 MS-14 GATO'S GELGOOG,MG,1/100,,JPY,2003-02-01,
HG 1/144 GEARA ZULU (CUARON USE),HG,1/144,,JPY,2014-06-01,
MG 1/100 MS-14A ANAVEL GATO’S GELGOOG Ver.2.0,MG,1/100,,JPY,2018-08-01,
HG 1/144 GEARA ZULU (GILBOA SANT USE),HG,1/144,,JPY,2014-06-01,
MG 1/100 MS-14B UMA LIGHTNING’S GELGOOG HIGH MOBILITY TYPE,MG,1/100,,JPY,2018-01-01,
HG 1/144 GEARA ZULU ANGELO SAUPER'S,HG,1/144,,JPY,2010-07-31,
MG 1/100 MS-14C GELGOOG CANNON (MSV COLOR),MG,1/100,,JPY,2014-07-01,
HG 1/144 GEIRAIL,HG,1/144,,JPY,2016-11-12,
MG 1/100 MS-18E KAMPFER,MG,1/100,,JPY,2001-01-01,
HG 1/144 GEIRAIL SCHARFRICHTER & LANDMAN RODI SET,HG,1/144,,JPY,2017-12-01,
MG 1/100 MSA-0011[EXT] EX-S GUNDAM,MG,1/100,,JPY,2003-03-01,
