canonical_name,grade,scale,msrp,msrp_currency,original_release_date,last_reproduction_date
HG 1/144 GUNDAM 00 COMMAND QAN[T] DESERT TYPE,HG,1/144,2000,JPY,2024-07-13,
HG 1/144 INFINITE JUSTICE GUNDAM TYPE II,HG,1/144,2800,JPY,2024-06-29,
HG 1/144 GM III (AXIS SHOCK IMAGE COLOR),HG,1/144,2000,JPY,2024-06-08,
HG 1/144 SHENLONG GUNDAM [CLEAR COLOR],HG,1/144,1900,JPY,2024-04-27,
HG 1/144 GYAN STROM (AGNES GIEBENRATH CUSTOM),HG,1/144,2900,JPY,2024-04-27,
HG 1/144 GELGOOG MENACE (LUNAMARIA HAWKE CUSTOM),HG,1/144,2900,JPY,2024-03-23,
HG 1/144 BLACK KNIGHT SQUAD RUD-RO.A (GRIFFIN ARBALEST CUSTOM),HG,1/144,2700,JPY,2024-03-23,
HG 1/144 DESTROY GUNDAM,HG,1/144,13000,JPY,2024-03-09,
HG 1/144 GEARA DOGA (AXIS SHOCK IMAGE COLOR),HG,1/144,2400,JPY,2024-02-23,
HG 1/144 BLACK KNIGHT SQUAD SHI-VE.A,HG,1/144,2700,JPY,2024-02-23,
HG 1/144 G-LINE STANDARD ARMOR,HG,1/144,3000,JPY,2024-02-01,
HG 1/144 IMMORTAL JUSTICE GUNDAM,HG,1/144,2400,JPY,2024-01-26,
HG 1/144 GUNDAM PERFECT STRIKE FREEDOM ROUGE,HG,1/144,2300,JPY,2024-01-13,
HG 1/144 TYPHOEUS GUNDAM CHIMERA,HG,1/144,8000,JPY,2023-12-16,
HG 1/144 PLUTINE GUNDAM,HG,1/144,2300,JPY,2023-12-02,
HG 1/144 GUNDAM 00 DIVER ARC,HG,1/144,2500,JPY,2023-12-02,
HG 1/144 GUNDAM LFRITH ANAVATA,HG,1/144,1900,JPY,2023-12-01,
HG 1/144 GM (SHOULDER CANNON / MISSILE POD),HG,1/144,2300,JPY,2023-11-18,
HG 1/144 SHIN BURNING GUNDAM,HG,1/144,2400,JPY,2023-11-11,
HG 1/144 THE GUNDAM BASE LIMITED BUILD STRIKE GALAXY COSMOS [PLAVSKY PARTICLE CLEAR],HG,1/144,2200,JPY,2023-10-07,
HG 1/144 NARRATIVE GUNDAM C-PACKS [AWAKENING IMAGE COLOR],HG,1/144,2700,JPY,2023-08-05,
HG 1/144 GUNDAM SCHWARZETTE,HG,1/144,1900,JPY,2023-07-08,
HG 1/144 GUNDAM LFRITH JIU,HG,1/144,1800,JPY,2023-07-01,
HG 1/144 GUNDVÖLVA,HG,1/144,1400,JPY,2023-06-10,
HG 1/144 GUNCANNON (CUCURUZ DOAN'S ISLAND Ver.),HG,1/144,2500,JPY,2023-05-20,
HG 1/144 VICTORY TWO ASSAULT BUSTER GUNDAM [CLEAR COLOR],HG,1/144,2400,JPY,2023-05-03,
HG 1/144 GUNDAM LFRITH UR,HG,1/144,1900,JPY,2023-03-04,
HG 1/144 GUNDAM ROSE,HG,1/144,2650,JPY,2023-02-01,
HG 1/144 GUNDAM PHARACT,HG,1/144,1900,JPY,2022-12-17,
HG 1/144 GUNDAM AERIAL,HG,1/144,1600,JPY,2022-10-01,
MG 1/100 GUNDAM STORMBRINGER P.F.,MG,1/100,6900,JPY,2024-08-01,
MG 1/100 THE GUNDAM BASE LIMITED DESTINY GUNDAM (HEINE WESTENFLUSS CUSTOM),MG,1/100,6900,JPY,2024-07-27,
MG 1/100 Re-GZ (CHAR'S COUNTERATTACK Ver.),MG,1/100,6400,JPY,2024-04-27,
MG 1/100 GUNDAM AGE-1 FULL GLANSA [DESIGNERS COLOR Ver.],MG,1/100,6700,JPY,2023-01-01,
MG 1/100 RICK DOM,MG,1/100,5000,JPY,2022-03-12,
MG 1/100 DOM,MG,1/100,5000,JPY,2022-02-11,
MG 1/100 SHIN MUSHA GUNDAM SENGOKU NO JIN BLACK ROBE LARGE ARMOR,MG,1/100,9500,JPY,2022-01-01,
MG 1/100 AILE STRIKE GUNDAM Ver.RM [RECIRCULATION COLOR/NEON PINK],MG,1/100,4900,JPY,2021-12-01,
MG 1/100 RX-78-2 GUNDAM Ver.3.0 [RECIRCULATION COLOR/NEON GREEN],MG,1/100,5200,JPY,2021-12-01,
MG 1/100 TALLGEESE FLUEGEL EW,MG,1/100,6400,JPY,2021-10-01,
MG 1/100 BLAZE ZAKU PHANTOM (REY ZA BURREL CUSTOM),MG,1/100,4700,JPY,2021-06-01,
MG 1/100 MOBILE GINN,MG,1/100,4300,JPY,2021-04-17,
MG 1/100 THE GUNDAM BASE LIMITED ZAKU WARRIOR (LIVE CONCERT Ver.),MG,1/100,4200,JPY,2021-03-12,
MG 1/100 GUNDAM STORMBRINGER F.A. / GM TURBULENCE,MG,1/100,5700,JPY,2020-11-01,
MG 1/100 QUBELEY EMBELLIR,MG,1/100,5400,JPY,2020-08-01,
MG 1/100 PHILIP HUGHES'S GM DOMINANCE,MG,1/100,5500,JPY,2019-10-01,
MG 1/100 GUNNER ZAKU WARRIOR (LUNAMARIA HAWKE CUSTOM),MG,1/100,4300,JPY,2019-09-28,
MG 1/100 GUNDAM F90,MG,1/100,4000,JPY,2019-08-01,
MG 1/100 GUNDAM ASTRAY RED DRAGON,MG,1/100,,JPY,2019-02-01,
MG 1/100 GUNDAM F91 Ver.2.0 WITH BACK CANNON & TWIN VESBAR,MG,1/100,6200,JPY,2018-11-01,
MG 1/100 POLYPODBALL,MG,1/100,,JPY,2018-08-04,
MG 1/100 AVALANCHE EXIA DASH,MG,1/100,6700,JPY,2018-08-01,
MG 1/100 JEGAN,MG,1/100,4000,JPY,2018-07-14,
MG 1/100 GM DOMINANCE,MG,1/100,4500,JPY,2018-06-01,
MG 1/100 MBF-02VV GUNDAM ASTRAY TURN RED,MG,1/100,7000,JPY,2018-02-01,
MG 1/100 GM COMMAND (COLONY BATTLE),MG,1/100,3500,JPY,2017-12-27,
MG 1/100 THE GUNDAM BASE LIMITED FREEDOM GUNDAM Ver.2.0 [CLEAR COLOR],MG,1/100,5000,JPY,2017-08-01,
MG 1/100 00 XN RAISER,MG,1/100,8000,JPY,2017-07-08,
MG 1/100 RX-78-02 GUNDAM (GUNDAM THE ORIGIN Ver.),MG,1/100,4500,JPY,2015-11-21,
MG 1/100 WING GUNDAM PROTO-ZERO EW,MG,1/100,4800,JPY,2013-10-26,
RG 1/144 BLAST IMPULSE GUNDAM Spec II,RG,1/144,4000,JPY,2024-09-01,
RG 1/144 UNICORN GUNDAM 03 PHENEX (NARRATIVE Ver.),RG,1/144,,JPY,2020-02-01,
RG 1/144 CROSSBONE GUNDAM X2,RG,1/144,,JPY,2019-12-01,
RG 1/144 TALLGEESE III,RG,1/144,,JPY,2019-07-01,
RG 1/144 SAZABI [CLEAR COLOR],RG,1/144,5000,JPY,2019-05-11,
RG 1/144 FULL ARMOR UNICORN GUNDAM,RG,1/144,5400,JPY,2018-12-22,
RG 1/144 SAZABI,RG,1/144,4500,JPY,2018-08-11,
RG 1/144 UNICORN GUNDAM 02 BANSHEE NORN,RG,1/144,4000,JPY,2018-02-17,
RG 1/144 THE GUNDAM BASE LIMITED WING GUNDAM ZERO EW [CLEAR COLOR],RG,1/144,3100,JPY,2017-12-01,
RG 1/144 THE GUNDAM BASE LIMITED SINANJU [METALLIC GLOSS INJECTION],RG,1/144,4000,JPY,2017-08-01,
RG 1/144 BUILD STRIKE GUNDAM FULL PACKAGE,RG,1/144,2500,JPY,2016-12-10,
RG 1/144 00 QAN[T],RG,1/144,2500,JPY,2016-05-28,
RG 1/144 MBF-P02 GUNDAM ASTRAY RED FRAME,RG,1/144,2500,JPY,2015-08-08,
RG 1/144 00 RAISER,RG,1/144,3000,JPY,2015-04-29,
RG 1/144 GUNDAM ASTRAEA TYPE-F,RG,1/144,4000,JPY,2014-10-01,
RG 1/144 MSM-07S CHAR'S Z'GOK,RG,1/144,2500,JPY,2014-07-19,
RG 1/144 RX-78 GP01-Fb,RG,1/144,2500,JPY,2013-07-27,
RG 1/144 DESTINY GUNDAM,RG,1/144,2500,JPY,2013-04-27,
RG 1/144 RX-178 GUNDAM Mk-II (A.E.U.G.),RG,1/144,2500,JPY,2012-05-12,
RG 1/144 RX-178 GUNDAM Mk-II (TITANS),RG,1/144,2500,JPY,2012-04-28,
RG 1/144 FREEDOM GUNDAM,RG,1/144,2500,JPY,2011-11-19,
RG 1/144 MS-06F ZAKU II,RG,1/144,2500,JPY,2011-07-23,
RG 1/144 AILE STRIKE GUNDAM,RG,1/144,2500,JPY,2011-04-30,
RG 1/144 MS-06S CHAR'S ZAKU II,RG,1/144,2500,JPY,2010-11-27,
RG 1/144 RX-78-2 GUNDAM,RG,1/144,2500,JPY,2010-07-24,
PG 1/60 MS-06F ZAKU II + WEAPONS ANIMATION COLOR VERSION,PG,1/60,,JPY,2008-08-30,
PG 1/60 RX-78-2 GUNDAM (KUNIO OKAWARA ILLUSTRATION IMAGE COLOR VERSION),PG,1/60,,JPY,2007-08-18,
PG 1/60 RX-78-2 GUNDAM + WEAPONS ANIMATION COLOR VERSION,PG,1/60,,JPY,2006-08-23,
PG 1/60 MS-06S CHAR'S ZAKU II FULL COLOR COATING VERSION,PG,1/60,,JPY,2006-08-23,
PG 1/60 AILE STRIKE GUNDAM + SKYGRASPER (CLEAR PEARL SHIFT VERSION),PG,1/60,,JPY,2006-08-19,
PG 1/60 RX-178 GUNDAM Mk-II MULTI COATING VERSION,PG,1/60,,JPY,2005-08-01,
PG 1/60 SKYGRASPER + AILE STRIKER,PG,1/60,5000,JPY,2005-06-11,
PG 1/60 GUNDAM GP01/Fb,PG,1/60,20000,JPY,2003-11-01,
PG 1/60 RX-178 GUNDAM Mk-II (TITANS),PG,1/60,15000,JPY,2002-07-01,
PG 1/60 RX-178 GUNDAM Mk-II (A.E.U.G.),PG,1/60,15000,JPY,2001-11-01,
PG 1/60 WING GUNDAM ZERO CUSTOM,PG,1/60,15000,JPY,2000-11-23,
PG 1/60 MSZ-006 ZETA GUNDAM,PG,1/60,20000,JPY,2000-03-01,
PG 1/60 MS-06S CHAR'S ZAKU II,PG,1/60,12000,JPY,1999-07-01,
PG 1/60 MS-06F ZAKU II,PG,1/60,12000,JPY,1999-03-01,
PG 1/60 RX-78-2 GUNDAM,PG,1/60,12000,JPY,1998-11-01,
