canonical_name,grade,scale,msrp,msrp_currency,original_release_date,last_reproduction_date
HG 1/144 GUNDAM Ez8,HG,1/144,,JPY,2013-04-13,
HG 1/144 GUNDAM F91,HG,1/144,,JPY,2013-12-21,
HG 1/144 GUNDAM F91 HARRISON CUSTOM,HG,1/144,,JPY,2013-12-28,
HG 1/144 GUNDAM F91 VITAL UNIT 01 & UNIT 02 SET,HG,1/144,,JPY,2021-10-01,
HG 1/144 GUNDAM FENICE LIBERTA,HG,1/144,,JPY,2017-11-01,
HG 1/144 GUNDAM FENICE RINASCITA,HG,1/144,,JPY,2014-09-20,
HG 1/144 GUNDAM FLAUROS (CALAMITY WAR TYPE),HG,1/144,,JPY,2017-04-01,
HG 1/144 GUNDAM FLAUROS (RYUSEI-GO),HG,1/144,,JPY,2016-12-10,
HG 1/144 GUNDAM FSD,HG,1/144,,JPY,2018-04-07,
HG 1/144 GUNDAM G-ARCANE,HG,1/144,,JPY,2014-11-22,
HG 1/144 GUNDAM G-ELSE(BEFORE),HG,1/144,,JPY,2020-10-01,
HG 1/144 GUNDAM G-LUCIFER,HG,1/144,,JPY,2015-03-14,
HG 1/144 GUNDAM G-SELF (REFLECTOR PACK EQUIPPED),HG,1/144,,JPY,2015-09-01,
HG 1/144 GUNDAM G-SELF ASSAULT PACK,HG,1/144,,JPY,2015-04-18,
HG 1/144 GUNDAM G-SELF ATMOSPHERIC PACK,HG,1/144,,JPY,2014-09-20,
HG 1/144 GUNDAM G-SELF PERFECT PACK,HG,1/144,,JPY,2015-08-22,
HG 1/144 GUNDAM G07,HG,1/144,,JPY,2025-12-01,
HG 1/144 GUNDAM G40 (Industrial Design Ver.),HG,1/144,,JPY,2019-12-14,
HG 1/144 GUNDAM GEMINASS 01,HG,1/144,,JPY,2020-05-01,
HG 1/144 GUNDAM GEMINASS 02,HG,1/144,,JPY,2021-01-01,
HG 1/144 GUNDAM GP-02A,HG,1/144,,JPY,2006-07-23,
HG 1/144 GUNDAM GREMORY,HG,1/144,,JPY,2021-10-16,
HG 1/144 GUNDAM GRIEPE,HG,1/144,,JPY,2025-12-01,
HG 1/144 GUNDAM GROUND TYPE (PARACHUTE PACK),HG,1/144,,JPY,2018-08-01,
HG 1/144 GUNDAM GROUND TYPE THE08 MS TEAM,HG,1/144,,JPY,2018-04-21,
HG 1/144 Gundam Ground Type-S(GUNDAM THUNDERBOLT Ver.),HG,1/144,,JPY,2017-05-27,
HG 1/144 GUNDAM GROUND URBAN COMBAT TYPE,HG,1/144,,JPY,2022-02-01,
HG 1/144 GUNDAM GUSION,HG,1/144,,JPY,2015-12-12,
HG 1/144 GUNDAM GUSION REBAKE,HG,1/144,,JPY,2016-01-30,
HG 1/144 GUNDAM GUSION REBAKE FULL CITY,HG,1/144,,JPY,2016-10-22,
HG 1/144 GUNDAM HAJIROBOSHI,HG,1/144,,JPY,2020-08-22,
HG 1/144 GUNDAM HAJIROBOSHI 2ND FORM,HG,1/144,,JPY,2023-11-01,
HG 1/144 GUNDAM HARUTE,HG,1/144,,JPY,2010-09-18,
HG 1/144 GUNDAM HARUTE (FINAL BATTLE Ver.),HG,1/144,,JPY,2021-12-01,
HG 1/144 GUNDAM HAZEL TR-1 [HAZEL No.2],HG,1/144,,JPY,2006-09-23,
HG 1/144 GUNDAM HEAVYARMS,HG,1/144,,JPY,2020-10-24,
HG 1/144 GUNDAM HEAVYARMS CUSTOM,HG,1/144,,JPY,2022-06-01,
HG 1/144 GUNDAM HEAVYARMS[CLEAR COLOR],HG,1/144,,JPY,2021-01-08,
HG 1/144 GUNDAM HELIOS,HG,1/144,,JPY,2021-11-06,
HG 1/144 GUNDAM JIYAN ALTRON,HG,1/144,,JPY,2018-07-28,
HG 1/144 GUNDAM JUSTICE KNIGHT,HG,1/144,,JPY,2019-10-19,
HG 1/144 GUNDAM KIMARIS,HG,1/144,,JPY,2016-01-16,
HG 1/144 GUNDAM KIMARIS TROOPER,HG,1/144,,JPY,2016-03-12,
HG 1/144 GUNDAM KIMARIS VIDAR,HG,1/144,,JPY,2017-03-04,
