canonical_name,grade,scale,msrp,msrp_currency,original_release_date,last_reproduction_date
HG 1/144 SKYHIGH WINGS,HG,1/144,864,JPY,2018-08-31,
HG 1/144 SPACE JAHANNAM KLIM NICK USE,HG,1/144,1512,JPY,2015-01-17,
HG 1/144 SPACE JAHANNAM MASS PRODUCTION,HG,1/144,1512,JPY,2014-12-20,
HG 1/144 SPINNING BLASTER,HG,1/144,648,JPY,2018-06-09,
HG 1/144 STAR BUILD STRIKE GUNDAM PLAVSKY WING,HG,1/144,1800,JPY,2014-01-18,
HG 1/144 STAR BUILD STRIKE GUNDAM Ver.RG SYSTEM,HG,1/144,1980,JPY,2014-10-01,
HG 1/144 STAR BURNING GUNDAM,HG,1/144,1728,JPY,2017-08-26,
HG 1/144 STARK JEGAN,HG,1/144,2000,JPY,2010-02-18,
HG 1/144 STRIKE DAGGER,HG,1/144,1650,JPY,2022-12-01,
HG 1/144 STRIKE FREEDOM GUNDAM,HG,1/144,2200,JPY,2016-11-12,
HG 1/144 STRIKE FREEDOM GUNDAM [CLEAR COLOR],HG,1/144,2400,JPY,2017-11-01,
"HG 1/144 STRIKE FREEDOM GUNDAM TypeII & “WINGS OF LIGHT"" EFFECT SET",HG,1/144,4620,JPY,2026-03-01,
HG 1/144 STRIKE FREEDOM GUNDAM “WINGS OF LIGHT” DX EDITION,HG,1/144,,JPY,2017-10-01,
HG 1/144 STRIKE ROUGE,HG,1/144,1400,JPY,2014-03-29,
HG 1/144 STRIKER GN-X,HG,1/144,2000,JPY,2018-01-20,
HG 1/144 SUGAI'S GELGOOG(GQ),HG,1/144,2200,JPY,2025-05-03,
HG 1/144 SUPER FUMINA,HG,1/144,1944,JPY,2015-11-07,
HG 1/144 SUPER FUMINA AXIS ANGEL Ver.,HG,1/144,2376,JPY,2017-03-25,
HG 1/144 SUPER FUMINA TITANS MAID Ver.,HG,1/144,1980,JPY,2016-11-01,
HG 1/144 SUSANOWO,HG,1/144,1575,JPY,2009-06-01,
HG 1/144 SUSANOWO (TRANS-AM MODE),HG,1/144,,JPY,2010-01-08,
HG 1/144 SWORD IMPULSE GUNDAM,HG,1/144,2700,JPY,2016-12-01,
HG 1/144 TALL STRIKE GUNDAM GLITTER,HG,1/144,1980,JPY,2018-03-01,
HG 1/144 TEKKADAN COMPLETE SET,HG,1/144,7700,JPY,2017-08-01,
HG 1/144 TERTIUM ARMS,HG,1/144,750,JPY,2020-09-26,
HG 1/144 THE GUNDAM BASE FUKUOKA LIMITED UNICORN GUNDAM PERFECTIBILITY (DESTROY MODE) (FINAL BATTLE Ver.)Ver.GSF,HG,1/144,4180,JPY,2021-04-24,
HG 1/144 THE GUNDAM BASE LIMITED DESTINY GUNDAM [SPECIAL COATING],HG,1/144,4840,JPY,2020-07-10,
HG 1/144 THE GUNDAM BASE LIMITED EFREET CUSTOM[METALIC GLOSS INJECTION],HG,1/144,2420,JPY,2019-02-01,
HG 1/144 THE GUNDAM BASE LIMITED FREEDOM GUNDAM [CLEAR COLOR],HG,1/144,2420,JPY,2017-11-01,
HG 1/144 THE GUNDAM BASE LIMITED FULL ARMOR GUNDAM VS PSYCHO ZAKU SET (GUNDAM THUNDERBOLT 10th Anniversary Ver.),HG,1/144,7040,JPY,2022-09-30,
HG 1/144 THE GUNDAM BASE LIMITED GUNDAM 00 DIVER[TRANS-AM CLEAR],HG,1/144,1650,JPY,2019-07-12,
HG 1/144 THE GUNDAM BASE LIMITED GUNDAM ASTRAY RED DRAGON,HG,1/144,4070,JPY,2022-10-08,
HG 1/144 THE GUNDAM BASE LIMITED GUNDAM BARBATOS [METALLIC GLOSS INJECTION],HG,1/144,1540,JPY,2017-08-01,
HG 1/144 THE GUNDAM BASE LIMITED HYAKU-SHIKI [GOLD COATING],HG,1/144,4840,JPY,2018-11-01,
HG 1/144 THE GUNDAM BASE LIMITED MS-06C-6/R6 ZAKUII TYPE C-6/R6[PAINTING MODEL],HG,1/144,2640,JPY,2020-05-30,
HG 1/144 THE GUNDAM BASE LIMITED NARRATIVE GUNDAM B-PACKS,HG,1/144,3740,JPY,2019-12-20,
HG 1/144 THE GUNDAM BASE LIMITED PETIT'GGUY GOLD TOP & PLACARD,HG,1/144,,JPY,2017-08-01,
HG 1/144 THE GUNDAM BASE LIMITED PETIT'GGUY SILVER SPARKLE & PLACARD,HG,1/144,,JPY,2017-08-01,
HG 1/144 THE GUNDAM BASE LIMITED PETIT’GGUY [THE GUNDAM BASE COLOR],HG,1/144,,JPY,2017-12-01,
HG 1/144 THE GUNDAM BASE LIMITED RX-78-2 GUNDAM [METALLIC GLOSS INJECTION],HG,1/144,1540,JPY,2017-08-01,
HG 1/144 THE GUNDAM BASE LIMITED UNICORN GUNDAM (LUMINOUS CRYSTAL BODY),HG,1/144,3740,JPY,2018-02-01,
HG 1/144 THE GUNDAM BASE LIMITED UNICORN GUNDAM PERFECTIBILITY(DESTROY MODE),HG,1/144,4180,JPY,2018-09-01,
HG 1/144 THE GUNDAM BASE LIMITED UNICORN GUNDAM(PAINTING MODEL),HG,1/144,2750,JPY,2018-06-01,
HG 1/144 THE GUNDAM BASE LIMITED XI GUNDAM/PENELOPE FUNNEL MISSILE EFFECT SET,HG,1/144,2530,JPY,2026-04-25,
