canonical_name,grade,scale,msrp,msrp_currency,original_release_date,last_reproduction_date
HG 1/144 01 GUNDAM,HG,1/144,2420,JPY,2026-01-01,
MG 1/100 00 GUNDAM SEVEN SWORD/G (TRANS-AM MODE) [SPECIAL COATING],MG,1/100,13200,JPY,2018-04-01,
RG 1/144 00 GUNDAM SEVEN SWORD/G INSPECTION,RG,1/144,3850,JPY,2017-12-01,
PG 1/60 00GUNDAM SEVEN SWORD/G INSPECTION,PG,1/60,,JPY,2020-06-01,
HG 1/144 1.5 GUNDAM,HG,1/144,1800,JPY,2010-05-19,
MG 1/100 00 GUNDAM SEVEN SWORD/G INSPECTION,MG,1/100,6050,JPY,2014-09-01,
RG 1/144 CASVAL’S GUNDAM,RG,1/144,2750,JPY,2014-09-01,
HG 1/144 598'S MONKEY RODI / MONKEY CRAB RODI,HG,1/144,1700,JPY,2025-11-01,
MG 1/100 ACGUY,MG,1/100,4600,JPY,2005-07-30,
RG 1/144 CROSSBONE GUNDAM X1,RG,1/144,2500,JPY,2019-05-25,
HG 1/144 ACCELERATE GN-X,HG,1/144,2484,JPY,2017-10-01,
MG 1/100 ADVANCED GN-X,MG,1/100,4620,JPY,2017-07-01,
RG 1/144 FORCE IMPULSE GUNDAM,RG,1/144,3000,JPY,2020-04-25,
HG 1/144 ACGUY,HG,1/144,1400,JPY,2007-04-01,
MG 1/100 AEGIS GUNDAM,MG,1/100,4800,JPY,2012-10-27,
RG 1/144 FORCE IMPULSE GUNDAM DEACTIVE MODE,RG,1/144,3300,JPY,2026-07-01,
HG 1/144 ACT ZAKU (KYCILIA’S FORCES),HG,1/144,2000,JPY,2018-01-20,
MG 1/100 AILE CALAMITY GUNDAM (FULL MECHANICS),MG,1/100,,JPY,2022-04-01,
RG 1/144 FREEDOM GUNDAM -APEX LEGENDSTM Crypto Ver.-,RG,1/144,4400,JPY,2026-07-01,
HG 1/144 ADELE,HG,1/144,1200,JPY,2012-02-11,
MG 1/100 AILE STRIKE GUNDAM,MG,1/100,4104,JPY,2003-10-01,
RG 1/144 FX550 SKY GRASPER LAUNCHER / SWORD PACK,RG,1/144,2500,JPY,2012-02-29,
HG 1/144 ADELE (DIVA COLOR),HG,1/144,1200,JPY,2012-04-21,
MG 1/100 AILE STRIKE GUNDAM Ver. RM,MG,1/100,4200,JPY,2013-05-25,
RG 1/144 G-3 GUNDAM Ver.2.0,RG,1/144,4180,JPY,2025-09-01,
HG 1/144 ADVANCED GN-X,HG,1/144,2200,JPY,2018-04-01,
MG 1/100 ALTRON GUNDAM EW,MG,1/100,5390,JPY,2015-10-01,
RG 1/144 GAT-X105 STRIKE GUNDAM,RG,1/144,2100,JPY,2012-03-01,
HG 1/144 AEU ENACT Demonstration Color,HG,1/144,1050,JPY,2008-08-01,
MG 1/100 AMX-004 QUBELEY,MG,1/100,,JPY,2001-08-01,
RG 1/144 GAT-X105 STRIKE GUNDAM DEACTIVE MODE,RG,1/144,,JPY,2012-03-01,
HG 1/144 AHEAD,HG,1/144,1200,JPY,2008-11-01,
MG 1/100 ASTRAY RED FRAME REVISE,MG,1/100,5400,JPY,2010-02-20,
RG 1/144 GUNDAM ASTRAY BLUE FRAME,RG,1/144,3630,JPY,2015-12-01,
