canonical_name,grade,scale,msrp,msrp_currency,original_release_date,last_reproduction_date
HG 1/144 ROZEN ZULU,HG,1/144,,JPY,2012-12-29,
HG 1/144 ROZEN ZULU (episode 7 Ver.),HG,1/144,,JPY,2014-08-09,
HG 1/144 RX-0 UNICORN GUNDAM (DESTROY MODE),HG,1/144,,JPY,2009-11-19,
HG 1/144 RX-0 UNICORN GUNDAM (UNICORN MODE),HG,1/144,,JPY,2009-11-19,
HG 1/144 RX-178 GUNDAM MK-II,HG,1/144,,JPY,2002-05-01,
HG 1/144 RX-178 GUNDAM MK-II(AEUG),HG,1/144,,JPY,2015-11-28,
HG 1/144 RX-178 GUNDAM MK-II(TITANS),HG,1/144,,JPY,2015-11-28,
HG 1/144 RX-77-2 GUNCANNON,HG,1/144,,JPY,2015-06-20,
HG 1/144 RX-78 GP-03 DENDROBIUM,HG,1/144,,JPY,2002-03-01,
HG 1/144 RX-78 GP01 ZEPHYRANTHES,HG,1/144,,JPY,2000-08-01,
HG 1/144 RX-78 GP01Fb,HG,1/144,,JPY,2000-12-01,
HG 1/144 RX-78 GUNDAM (21stCENTURY REAL TYPE Ver.),HG,1/144,,JPY,2016-06-01,
HG 1/144 RX-78-02 GUNDAM (GUNDAM THE ORIGIN Ver.),HG,1/144,,JPY,2020-03-14,
HG 1/144 RX-78-2 GUNDAM,HG,1/144,,JPY,2001-05-26,
"HG 1/144 RX-78-2 GUNDAM [PR ambassador of the Japan Pavilion, Expo 2020 Dubai]",HG,1/144,,JPY,2021-10-01,
HG 1/144 RX-78-2 GUNDAM[BEYOND GLOBAL],HG,1/144,,JPY,2020-06-06,
HG 1/144 RX-78-2GUNDAM BEYOND GLOBAL[CLEAR COLOR],HG,1/144,,JPY,2020-09-11,
HG 1/144 RX-78-3 FULL ARMOR GUNDAM 7th,HG,1/144,,JPY,2009-09-04,
HG 1/144 RX-78GP03S GUNDAM,HG,1/144,,JPY,2001-12-01,
HG 1/144 RX-79(G) GUNDAM THE GROUND WAR SET,HG,1/144,,JPY,2009-09-01,
HG 1/144 RX-79G GUNDAM GROUND TYPE,HG,1/144,,JPY,2007-06-01,
HG 1/144 RYUSEI-GO (GRAZE CUSTOM II),HG,1/144,,JPY,2016-01-30,
HG 1/144 SAYLA’S LIGHT-TYPE GUNCANNON,HG,1/144,,JPY,2025-10-01,
HG 1/144 SAZABI,HG,1/144,,JPY,2008-06-01,
HG 1/144 SCHUZRUM-DIAS,HG,1/144,,JPY,2009-05-02,
HG 1/144 SCHUZRUM-GALLUSS,HG,1/144,,JPY,2014-07-12,
HG 1/144 SCRAMBLE GUNDAM,HG,1/144,,JPY,2016-09-10,
HG 1/144 SECOND V,HG,1/144,,JPY,2019-10-01,
HG 1/144 SENGOKU ASTRAY GUNDAM,HG,1/144,,JPY,2013-12-14,
HG 1/144 SERAPHIM GUNDAM,HG,1/144,,JPY,2009-02-01,
HG 1/144 SERAVEE GUNDAM,HG,1/144,,JPY,2008-11-01,
HG 1/144 SERAVEE GUNDAM & SERAPHIM GUNDAM (TRANS-AM MODE),HG,1/144,,JPY,2009-12-17,
HG 1/144 SERAVEE GUNDAM GNHW/B,HG,1/144,,JPY,2009-09-04,
HG 1/144 SERAVEE GUNDAM SCHEHERAZADE,HG,1/144,,JPY,2018-05-19,
HG 1/144 SERGEI'S TIEREN TAOZI,HG,1/144,,JPY,2009-02-01,
HG 1/144 SHALDOLL ROGUE,HG,1/144,,JPY,2013-02-09,
HG 1/144 SHALDOLL-KAI,HG,1/144,,JPY,2012-04-14,
HG 1/144 SHENLONG GUNDAM,HG,1/144,,JPY,2022-09-10,
HG 1/144 SHIN MATSUNAGA’S GELGOOG JAGER,HG,1/144,,JPY,2018-09-01,
HG 1/144 SHINNING GUNDAM,HG,1/144,,JPY,2011-08-27,
HG 1/144 SIGRÚN,HG,1/144,,JPY,2022-06-18,
HG 1/144 SILVER BULLET,HG,1/144,,JPY,2014-01-25,
HG 1/144 SILVER BULLET (FUNNEL TEST TYPE),HG,1/144,,JPY,2014-03-01,
HG 1/144 SILVER BULLET SUPPRESSOR,HG,1/144,,JPY,2019-06-22,
HG 1/144 SINANJU,HG,1/144,,JPY,2010-10-23,
HG 1/144 SINANJU STEIN (NARRATIVE Ver.),HG,1/144,,JPY,2018-10-27,
HG 1/144 SINANJU STEIN (UNICORN Ver.),HG,1/144,,JPY,2019-12-01,
