canonical_name,grade,scale,msrp,msrp_currency,original_release_date,last_reproduction_date
HG 1/144 QUATTRO BAJEENA’S RICK DIAS,HG,1/144,,JPY,2020-08-01,
HG 1/144 QUBELEY,HG,1/144,,JPY,1999-09-01,
HG 1/144 QUBELEY Mk-II,HG,1/144,,JPY,2000-06-01,
HG 1/144 QUBELEY PAPILLON,HG,1/144,,JPY,2014-02-15,
HG 1/144 R-GYAGYA,HG,1/144,,JPY,2014-12-13,
HG 1/144 R-JARJA,HG,1/144,,JPY,2019-01-12,
HG 1/144 R-JARJA (Twilight AXIS Ver.),HG,1/144,,JPY,2020-07-01,
HG 1/144 R01 AILE STRIKE GUNDAM,HG,1/144,,JPY,2011-11-19,
HG 1/144 R02 DUEL GUNDAM,HG,1/144,,JPY,2011-11-19,
HG 1/144 R03 BUSTER GUNDAM,HG,1/144,,JPY,2011-11-19,
HG 1/144 R04 BLITZ GUNDAM,HG,1/144,,JPY,2011-11-19,
HG 1/144 R05 AEGIS GUNDAM,HG,1/144,,JPY,2011-11-19,
HG 1/144 R06 MOBILE GINN,HG,1/144,,JPY,2011-11-19,
HG 1/144 R07 MOBILE CGUE,HG,1/144,,JPY,2012-01-21,
HG 1/144 R08 CALAMITY GUNDAM,HG,1/144,,JPY,2012-01-21,
HG 1/144 R09 FORBIDDEN GUNDAM,HG,1/144,,JPY,2012-01-01,
HG 1/144 R10 RAIDER GUNDAM,HG,1/144,,JPY,2012-01-21,
HG 1/144 R11 LaGOWE,HG,1/144,,JPY,2012-02-25,
HG 1/144 R12 MOBILE BuCUE,HG,1/144,,JPY,2012-02-25,
HG 1/144 R13 PROVIDENCE GUNDAM,HG,1/144,,JPY,2012-02-25,
HG 1/144 R14 JUSTICE GUNDAM,HG,1/144,,JPY,2012-02-29,
HG 1/144 R15 FREEDOM GUNDAM,HG,1/144,,JPY,2012-02-29,
HG 1/144 R16 M1 ASTRAY,HG,1/144,,JPY,2012-06-23,
HG 1/144 R17 PERFECT STRIKE GUNDAM,HG,1/144,,JPY,2013-02-23,
HG 1/144 RAPHAEL GUNDAM,HG,1/144,,JPY,2010-09-24,
HG 1/144 RAS-96 ANKSHA,HG,1/144,,JPY,2012-05-26,
HG 1/144 Re-GZ,HG,1/144,,JPY,2008-01-19,
HG 1/144 REBAWOO,HG,1/144,,JPY,2013-12-01,
HG 1/144 REBORNS GUNDAM,HG,1/144,,JPY,2009-09-10,
HG 1/144 REBORNS GUNDAM (TRANS-AM MODE),HG,1/144,,JPY,2010-01-14,
HG 1/144 REGELGU,HG,1/144,,JPY,2018-07-01,
HG 1/144 REGELGU (UNICORN Ver.),HG,1/144,,JPY,2019-03-01,
HG 1/144 REGINLAZE JULIA,HG,1/144,,JPY,2017-02-18,
HG 1/144 REVERSIBLE GUNDAM,HG,1/144,,JPY,2017-10-14,
HG 1/144 ReZEL,HG,1/144,,JPY,2010-01-22,
HG 1/144 ReZEL (CAPTAIN MS),HG,1/144,,JPY,2010-03-18,
HG 1/144 ReZEL (DEFENSER b-UNIT),HG,1/144,,JPY,2013-01-01,
HG 1/144 ReZEL TYPE-C (DEFENSER b-UNIT) (GR),HG,1/144,,JPY,2012-06-16,
HG 1/144 ReZEL TYPE-C (GR),HG,1/144,,JPY,2012-08-01,
HG 1/144 RGM-79 GM,HG,1/144,,JPY,2001-04-01,
HG 1/144 RGM-79 POWERED GM,HG,1/144,,JPY,2006-08-12,
HG 1/144 RGM-79D GM COLD DISTRICTS TYPE,HG,1/144,,JPY,2003-07-01,
HG 1/144 RGM-89D JEGAN D TYPE,HG,1/144,,JPY,2014-05-01,
HG 1/144 RGM-89J JEGAN NORMAL TYPE(F91 Ver.),HG,1/144,,JPY,2014-11-01,
HG 1/144 RGM-89M JEGAN B TYPE(F91Ver.),HG,1/144,,JPY,2015-02-01,
HG 1/144 RGM-89R JEGAN A TYPE(F91Ver.),HG,1/144,,JPY,2015-05-01,
HG 1/144 RGM-89S STARK JEGAN (CCA-MSV Ver.),HG,1/144,,JPY,2015-06-01,
HG 1/144 RICK DOM II LIGHT GREEN VERSION,HG,1/144,,JPY,2008-08-08,
HG 1/144 RICK DOMII,HG,1/144,,JPY,2004-01-01,
HG 1/144 RICK-DO GYANKO,HG,1/144,,JPY,2018-01-01,
HG 1/144 RICKDIAS,HG,1/144,,JPY,2000-06-01,
HG 1/144 RMS-141 XEKU EINS,HG,1/144,,JPY,2001-10-01,
HG 1/144 ROUEI,HG,1/144,,JPY,2017-01-28,
